区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,藍地,豫豐花園 11座 10樓 F室,N/A,02/04/2025,2房,$323 萬,396 呎,"$8,152",露台 | | 工作平台
新界,藍地,匯悅豪庭 Q座 G&1樓,N/A,01/04/2025,-,$280 萬,681 呎,"$4,112",複式
新界,藍地,綠怡居 2座 3樓 E室,N/A,01/04/2025,2房,$415 萬,482 呎,"$8,610",N/A
新界,藍地,紫翠花園 15 座 A1室,N/A,19/03/2025,3房,$730 萬,"1,224 呎","$5,964",車位 | | 花園
新界,藍地,豫豐花園 13座 1樓 C室,N/A,13/03/2025,3房,$529 萬,547 呎,"$9,671",平台
新界,藍地,豫豐花園 5座 16樓 C室,N/A,12/03/2025,2房,$350 萬,396 呎,"$8,838",露台 | | 工作平台
新界,藍地,豫豐花園 11座 8樓 C室,N/A,12/03/2025,2房,$355 萬,396 呎,"$8,965",露台 | | 工作平台
新界,藍地,茵翠豪庭 83號屋 1樓,N/A,10/03/2025,2房,$508 萬,577 呎,"$8,804",平台
新界,藍地,紫翠花園 1 座 6樓 C室,N/A,07/03/2025,2房,$331 萬,493 呎,"$6,714",N/A
新界,藍地,茵翠豪庭 10號屋,N/A,26/02/2025,3房,"$1,170 萬","1,483 呎","$7,889",花園 | | 天台 | | 平台
新界,藍地,綠怡居 2座 5樓 C室,N/A,03/02/2025,2房,$450 萬,509 呎,"$8,841",車位
新界,藍地,茵翠豪庭 康寶路88號〈分層洋房〉,N/A,02/02/2025,2房,"$16,800",577 呎,$29,N/A
新界,藍地,順風圍 順風圍720C號 WB樓 WB室,N/A,28/01/2025,-,$900 萬,-,-,N/A
新界,藍地,豫豐花園 1座 3樓 C室,N/A,10/01/2025,2房,$300 萬,396 呎,"$7,576",露台 | | 工作平台
新界,藍地,茵翠豪庭 122號屋 G樓,N/A,02/01/2025,3房,$850 萬,795 呎,"$10,692",花園
新界,藍地,豫豐花園 6座 5樓 B室,N/A,31/12/2024,3房,$455 萬,594 呎,"$7,660",露台 | | 工作平台
新界,藍地,豫豐花園 9座 3樓 A室,N/A,23/12/2024,2房,$342 萬,362 呎,"$9,448",露台 | | 工作平台
新界,藍地,豫豐花園 8座 12樓 C室,N/A,18/12/2024,3房,$448 萬,584 呎,"$7,671",露台 | | 工作平台
新界,藍地,泥圍 泥圍500號 -樓,N/A,17/12/2024,-,"$1,028 萬",-,-,N/A
新界,藍地,綠怡居 8座 2樓 G室,N/A,16/12/2024,3房,$520 萬,663 呎,"$7,843",車位
新界,藍地,茵翠豪庭 康寶路88號〈分層洋房〉,N/A,10/12/2024,3房,"$19,500",770 呎,$25,花園
新界,藍地,豫豐花園 10座 18樓 H室,N/A,09/12/2024,2房,$370 萬,362 呎,"$10,221",天台 | | 露台 | | 工作平台
新界,藍地,新慶村(屯門) 新慶村(屯門)199號 WB樓 WB室,N/A,05/12/2024,-,$270 萬,-,-,N/A
新界,藍地,紫翠花園 6 座 8樓 C室,N/A,02/12/2024,2房,$408 萬,493 呎,"$8,276",天台
新界,藍地,豫豐花園 13座 2樓 E室,N/A,29/11/2024,3房,$460 萬,568 呎,"$8,099",露台 | | 工作平台
新界,藍地,順風圍 順風圍769號 WB樓 WB室,N/A,22/11/2024,-,"$1,050 萬",-,-,N/A
新界,藍地,怡盧 1 座 3樓 B室,N/A,22/11/2024,2房,$240 萬,414 呎,"$5,797",天台
新界,藍地,豫豐花園 9座 11樓 F室,N/A,21/11/2024,3房,$408 萬,584 呎,"$6,986",露台 | | 工作平台
新界,藍地,綠怡居 1座 9樓 E室,N/A,18/11/2024,2房,$600 萬,482 呎,"$12,448",N/A
新界,藍地,藍地 藍地183號 WB樓 WB室,N/A,15/11/2024,-,$457 萬,-,-,N/A
新界,藍地,綠怡居 7座 12樓 F室,N/A,13/11/2024,2房,$475 萬,509 呎,"$9,332",天台
新界,藍地,紫翠花園 8 座 6樓 A室,N/A,12/11/2024,3房,$513 萬,715 呎,"$7,172",車位 | | 露台
新界,藍地,豫豐花園 5座 1樓 F室,N/A,08/11/2024,2房,$348 萬,380 呎,"$9,153",平台 | | 露台
新界,藍地,豫豐花園 10座 低層 G室,N/A,07/11/2024,2房,"$11,800",450 呎,$26,露台
新界,藍地,豫豐花園 13座 7樓 H室,N/A,05/11/2024,2房,$334 萬,361 呎,"$9,252",露台 | | 工作平台
新界,藍地,藍地 藍地187號 WB樓 WB室,N/A,01/11/2024,-,$449 萬,-,-,N/A
新界,藍地,藍地 藍地173號 WB樓 WB室,N/A,31/10/2024,-,$414 萬,-,-,N/A
新界,藍地,豫豐花園 1座 高層 B室,N/A,24/10/2024,2房,"$11,500",450 呎,$26,露台
新界,藍地,豫豐花園 7座 2樓 A室,N/A,22/10/2024,2房,$350 萬,362 呎,"$9,669",露台 | | 工作平台
新界,藍地,豫豐花園 9座 11樓 A室,N/A,15/10/2024,2房,$285 萬,362 呎,"$7,873",露台 | | 工作平台
新界,藍地,豫豐花園 13座 15樓 F室,N/A,14/10/2024,2房,$325 萬,396 呎,"$8,207",露台 | | 工作平台
新界,藍地,豫豐花園 8座 9樓 H室,N/A,09/10/2024,2房,$300 萬,361 呎,"$8,310",露台 | | 工作平台
新界,藍地,藍地 藍地171號 WB樓 WB室,N/A,08/10/2024,-,$414 萬,-,-,N/A
新界,藍地,藍地 藍地170號 WB樓 WB室,N/A,08/10/2024,-,$429 萬,-,-,N/A
新界,藍地,紫翠花園 2 座 7樓 B室,N/A,19/09/2024,2房,$420 萬,493 呎,"$8,519",N/A
新界,藍地,豫豐花園 8座 低層 E室,N/A,13/09/2024,3房,"$13,000",531 呎,$24,平台
新界,藍地,豫豐花園 7座 中層 B室,N/A,11/09/2024,2房,"$11,500",450 呎,$26,露台
新界,藍地,綠怡居 06座 低層 A室,N/A,08/09/2024,2房,"$11,500",482 呎,$24,N/A
新界,藍地,豫豐花園 2座 12樓 B室,N/A,04/09/2024,2房,$385 萬,450 呎,"$8,556",露台 | | 工作平台
新界,藍地,茵翠豪庭 3號屋 G樓,N/A,26/08/2024,3房,$865 萬,818 呎,"$10,575",花園
新界,藍地,豫豐花園 2座 高層 D室,N/A,25/08/2024,3房,"$14,800",568 呎,$26,露台
新界,藍地,豫豐花園 8座 高層 C室,N/A,20/08/2024,3房,"$12,200",584 呎,$21,露台
新界,藍地,豫豐花園 7座 高層 E室,N/A,19/08/2024,3房,"$15,000",568 呎,$26,露台
新界,藍地,豫豐花園 1座 17樓 F室,N/A,19/08/2024,3房,$458 萬,584 呎,"$7,842",露台 | | 工作平台
新界,藍地,豫豐花園 11座 高層 H室,N/A,17/08/2024,2房,"$10,500",362 呎,$29,天台 | | 露台
新界,藍地,豫豐花園 13座 中層 E室,N/A,10/08/2024,3房,"$12,300",568 呎,$22,露台
新界,藍地,豫豐花園 9座 低層 F室,N/A,10/08/2024,3房,"$14,000",584 呎,$24,露台
新界,藍地,綠怡居 07座 高層 C室,N/A,09/08/2024,3房,"$16,500",663 呎,$25,N/A
新界,藍地,豫豐花園 13座 高層 G室,N/A,06/08/2024,2房,"$10,500",450 呎,$23,露台
新界,藍地,豫豐花園 6座 中層 B室,N/A,31/07/2024,3房,"$14,500",594 呎,$24,露台
新界,藍地,豫豐花園 3座 9樓 H室,N/A,31/07/2024,2房,$350 萬,362 呎,"$9,669",露台 | | 工作平台
新界,藍地,綠怡居 03座 高層 E室,N/A,21/07/2024,2房,"$11,800",482 呎,$24,N/A
新界,藍地,豫豐花園 13座 低層 B室,N/A,16/07/2024,3房,"$14,000",594 呎,$24,露台
新界,藍地,豫豐花園 9座 低層 D室,N/A,15/07/2024,3房,"$15,500",568 呎,$27,露台
新界,藍地,豫豐花園 6座 高層 F室,N/A,14/07/2024,2房,"$10,500",396 呎,$27,露台
新界,藍地,茵翠豪庭 康寶路88號〈獨立屋〉,N/A,12/07/2024,3房,"$32,000","1,178 呎",$27,花園 | | 天台 | | 平台
新界,藍地,豫豐花園 5座 12樓 F室,N/A,27/06/2024,2房,$395 萬,396 呎,"$9,975",露台 | | 工作平台
新界,藍地,豫豐花園 7座 11樓 H室,N/A,13/06/2024,2房,$370 萬,361 呎,"$10,249",露台 | | 工作平台
新界,藍地,綠怡居 08座 中層 G室,N/A,12/06/2024,3房,"$15,000",663 呎,$23,N/A
新界,藍地,豫豐花園 8座 2樓 H室,N/A,07/06/2024,2房,$345 萬,361 呎,"$9,557",露台 | | 工作平台
新界,藍地,豫豐花園 12座 7樓 H室,N/A,07/06/2024,2房,$372 萬,362 呎,"$10,276",露台 | | 工作平台
新界,藍地,豫豐花園 12座 5樓 H室,N/A,05/06/2024,2房,$380 萬,362 呎,"$10,497",露台 | | 工作平台
新界,藍地,豫豐花園 13座 11樓 H室,N/A,04/06/2024,2房,$348 萬,361 呎,"$9,640",露台 | | 工作平台
新界,藍地,豫豐花園 2座 6樓 E室,N/A,31/05/2024,3房,$450 萬,568 呎,"$7,923",露台 | | 工作平台
新界,藍地,綠怡居 05座 低層 C室,N/A,24/05/2024,2房,"$12,000",509 呎,$24,N/A
新界,藍地,豫豐花園 2座 低層 C室,N/A,22/05/2024,2房,"$10,200",396 呎,$26,露台
新界,藍地,豫豐花園 9座 中層 C室,N/A,18/05/2024,2房,"$9,500",395 呎,$24,露台
新界,藍地,豫豐花園 12座 15樓 C室,N/A,16/05/2024,2房,$360 萬,396 呎,"$9,091",露台 | | 工作平台
新界,藍地,綠怡居 8座 5樓 C室,N/A,13/05/2024,3房,$598 萬,663 呎,"$9,020",N/A
新界,藍地,豫豐花園 6座 7樓 E室,N/A,02/05/2024,3房,$475 萬,568 呎,"$8,363",露台 | | 工作平台
新界,藍地,豫豐花園 6座 中層 F室,N/A,30/04/2024,2房,"$11,300",396 呎,$29,露台
新界,藍地,豫豐花園 11座 13樓 D室,N/A,30/04/2024,3房,$495 萬,568 呎,"$8,715",露台 | | 工作平台
新界,藍地,豫豐花園 8座 中層 H室,N/A,27/04/2024,2房,"$10,800",361 呎,$30,露台
新界,藍地,綠怡居 7座 9樓 B室,N/A,23/04/2024,3房,$580 萬,663 呎,"$8,748",N/A
新界,藍地,豫豐花園 11座 15樓 C室,N/A,23/04/2024,2房,$382 萬,396 呎,"$9,646",露台 | | 工作平台
新界,藍地,豫豐花園 3座 16樓 A室,N/A,22/04/2024,2房,$374 萬,362 呎,"$10,326",露台 | | 工作平台
新界,藍地,紫翠花園 3 座 7樓 D室,N/A,22/04/2024,2房,$450 萬,506 呎,"$8,893",車位
新界,藍地,豫豐花園 8座 3樓 D室,N/A,19/04/2024,3房,$462 萬,567 呎,"$8,145",露台 | | 工作平台
新界,藍地,豫豐花園 11座 11樓 A室,N/A,19/04/2024,2房,$359 萬,362 呎,"$9,917",露台 | | 工作平台
新界,藍地,豫豐花園 1座 1樓 H室,N/A,18/04/2024,2房,$358 萬,361 呎,"$9,917",露台 | | 工作平台
新界,藍地,豫豐花園 10座 5樓 H室,N/A,16/04/2024,2房,$358 萬,362 呎,"$9,890",露台 | | 工作平台
新界,藍地,豫豐花園 12座 1樓 F室,N/A,15/04/2024,2房,$450 萬,358 呎,"$12,570",平台
新界,藍地,豫豐花園 5座 10樓 A室,N/A,11/04/2024,2房,$372 萬,362 呎,"$10,276",露台 | | 工作平台
新界,藍地,紫翠花園 9 座 6樓 A室,N/A,10/04/2024,3房,$564 萬,710 呎,"$7,941",車位 | | 露台
新界,藍地,豫豐花園 12座 7樓 E室,N/A,08/04/2024,3房,$467 萬,568 呎,"$8,218",露台 | | 工作平台
新界,藍地,綠怡居 8座 1樓 D室,N/A,03/04/2024,2房,$450 萬,482 呎,"$9,336",車位
新界,藍地,綠怡居 9座 6樓 B室,N/A,02/04/2024,2房,$415 萬,509 呎,"$8,153",N/A
新界,藍地,豫豐花園 5座 5樓 F室,N/A,20/03/2024,2房,$375 萬,396 呎,"$9,470",露台 | | 工作平台
