区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,錦田,爾巒 茵羅洛斯大道 2座 12樓 B室,N/A,02/04/2025,3房,$747 萬,897 呎,"$8,328",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Genova 2A期 16A座 2樓 E室,N/A,01/04/2025,開放式,$243 萬,251 呎,"$9,681",露台
新界,錦田,峻巒 (Park Yoho) Park Yoho 1A期 9A座 17樓 D室,N/A,31/03/2025,3房,$615 萬,643 呎,"$9,565",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Milano 2C期 32A座 中層 A室,N/A,30/03/2025,1房,"$12,500",405 呎,$31,露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Milano 2C期 32A座 低層 B室,N/A,28/03/2025,1房,"$13,000",378 呎,$34,平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Napoli 2B期 20座 15樓 D室,N/A,28/03/2025,3房,$700 萬,735 呎,"$9,524",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Venezia 1B期 7B座 10樓 D室,N/A,28/03/2025,2房,$552 萬,583 呎,"$9,475",露台 | | 工作平台
新界,錦田,四季名園 201號屋,N/A,28/03/2025,-,"$1,001 萬",930 呎,"$10,761",花園 | | 天台
新界,錦田,峻巒 (Park Yoho) Park Yoho Napoli 2B期 28座 中層 C室,N/A,28/03/2025,2房,$535 萬,524 呎,"$10,210",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Genova 2A期 18A座 低層 D室,N/A,28/03/2025,2房,$560 萬,572 呎,"$9,790",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Bologna 3期 8B座 1樓 A室,N/A,25/03/2025,3房,$992 萬,629 呎,"$15,771",平台
新界,錦田,爾巒 菲利提諾大道 7座 B室,N/A,24/03/2025,4房,"$33,610","1,232 呎",$27,花園 | | 平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Sicilia 1C期 1A座 中層 D室,N/A,24/03/2025,開放式,"$11,000",326 呎,$34,露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Milano 2C期 36B座 中層 E室,N/A,23/03/2025,2房,"$14,600",504 呎,$29,露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Napoli 2B期 27B座 低層 C室,N/A,23/03/2025,2房,"$14,000",520 呎,$27,露台
新界,錦田,爾巒 珍諾華大道 7座 9樓 C室,N/A,21/03/2025,2房,$400 萬,466 呎,"$8,584",工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho 1A期 11A座 16樓 D室,N/A,19/03/2025,2房,$526 萬,531 呎,"$9,906",露台
新界,錦田,四季名園 錦田路183號〈獨立屋〉,N/A,19/03/2025,-,"$27,000",970 呎,$28,花園
新界,錦田,峻巒 (Park Yoho) Park Yoho Genova 2A期 15B座 9樓 A室,N/A,19/03/2025,3房,$888 萬,925 呎,"$9,600",露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Milano 2C期 35A座 6樓 C室,N/A,17/03/2025,2房,$485 萬,495 呎,"$9,798",露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Genova 2A期 15A座 中層 D室,N/A,15/03/2025,2房,"$15,500",572 呎,$27,露台 | | 工作平台
新界,錦田,爾巒 茵羅洛斯大道 3座 中層 C室,N/A,15/03/2025,3房,"$22,500",886 呎,$25,露台 | | 工作平台
新界,錦田,爾巒 茵羅洛斯大道 6B座 8樓 B室,N/A,10/03/2025,3房,$688 萬,696 呎,"$9,885",露台
新界,錦田,山水盈 10座 高層 A室,N/A,09/03/2025,3房,"$20,500",734 呎,$28,露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Venezia 1B期 7B座 低層 C室,N/A,06/03/2025,2房,"$14,500",470 呎,$31,平台
新界,錦田,峻巒 (Park Yoho) Park Yoho Milano 2C期 32A座 中層 B室,N/A,05/03/2025,1房,"$12,800",405 呎,$32,露台
新界,錦田,峻巒 (Park Yoho) Park Yoho Genova 2A期 30B座 中層 A室,N/A,01/03/2025,2房,"$15,200",572 呎,$27,露台 | | 工作平台
新界,錦田,爾巒 茵羅洛斯大道 6B座 高層 B室,N/A,01/03/2025,3房,"$20,000",696 呎,$29,露台
新界,錦田,爾巒 珍諾華大道 5座 高層 B室,N/A,01/03/2025,3房,"$19,800",649 呎,$31,露台
新界,錦田,爾巒 茵羅洛斯大道 2座 中層 A室,N/A,28/02/2025,4房,"$33,800","1,087 呎",$31,車位 | | 露台
新界,錦田,爾巒 菲利提諾大道 2座 3&5樓 A室,N/A,25/02/2025,3房,"$1,673 萬","1,484 呎","$11,270",複式 | | 天台 | | 平台
新界,錦田,山水盈 9座 15樓 A室,N/A,24/02/2025,3房,"$1,200 萬",955 呎,"$12,565",花園 | | 天台 | | 露台 | | 工作平台
新界,錦田,峻巒 (Park Yoho) Park Yoho 1A期 10A座 低層 D室,N/A,21/02/2025,2房,"$14,800",532 呎,$28,露台 | | 工作平台
