区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,錦繡加州葡萄園,加州花園 1A期(爵仕居)玉蘭徑 玉蘭徑6號,N/A,02/04/2025,3房,$850 萬,"1,016 呎","$8,366",花園 | | 平台
新界,錦繡加州葡萄園,錦繡花園 河北第八街 河北 8 街〈獨立屋〉,N/A,01/04/2025,3房,"$25,500",962 呎,$27,N/A
新界,錦繡加州葡萄園,錦繡花園 M段(第三街) 3 街〈獨立屋〉,N/A,01/04/2025,4房,"$30,000","1,245 呎",$24,N/A
新界,錦繡加州葡萄園,錦繡花園 金竹北路 金竹北路〈獨立屋〉,N/A,30/03/2025,3房,"$30,800","1,035 呎",$30,N/A
新界,錦繡加州葡萄園,加州豪園 B期(安島徑) 安島徑15號,N/A,28/03/2025,3房,"$1,200 萬","1,495 呎","$8,027",花園 | | 平台
新界,錦繡加州葡萄園,錦繡花園 荔枝南路 荔枝南路〈獨立屋〉,N/A,28/03/2025,3房,"$28,000","1,100 呎",$25,花園
新界,錦繡加州葡萄園,錦繡花園 C段(第七街) 7 街 20 號,N/A,28/03/2025,3房,$778 萬,848 呎,"$9,175",花園
新界,錦繡加州葡萄園,錦繡花園 G段(第一街) 1 街 57 號,N/A,27/03/2025,3房,"$1,228 萬","1,035 呎","$11,865",花園
新界,錦繡加州葡萄園,峰景豪園 A06 號屋,N/A,26/03/2025,3房,"$1,000 萬","1,666 呎","$6,002",花園
新界,錦繡加州葡萄園,錦繡花園 H段(第一街) 1 街 26 號,N/A,26/03/2025,3房,"$1,150 萬","1,035 呎","$11,111",花園
新界,錦繡加州葡萄園,錦繡花園 I段(第三街) 3 街 35 號,N/A,25/03/2025,3房,$900 萬,848 呎,"$10,613",花園
新界,錦繡加州葡萄園,加州豪園 A期(麥蘭徑) 麥蘭徑18號,N/A,24/03/2025,3房,"$1,118 萬","1,348 呎","$8,294",花園 | | 平台
