区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,青衣,藍澄灣 5座 高層 E室,N/A,03/04/2025,3房,$712 萬,690 呎,"$10,319",N/A
新界,青衣,盈翠半島 1期 5座 27樓 G室,N/A,02/04/2025,2房,$760 萬,520 呎,"$14,615",N/A
新界,青衣,盈翠半島 1期 6座 29樓 C室,N/A,02/04/2025,3房,"$1,008 萬",670 呎,"$15,045",N/A
新界,青衣,青怡花園 2座 25樓 A室,N/A,02/04/2025,2房,$400 萬,343 呎,"$11,656",N/A
新界,青衣,盈翠半島 2期 01座 中層 F室,N/A,01/04/2025,2房,"$21,000",523 呎,$40,N/A
新界,青衣,翠怡花園 1期 4座 9樓 F室,N/A,01/04/2025,2房,$400 萬,368 呎,"$10,870",N/A
新界,青衣,海欣花園 1座 30樓 A室,N/A,01/04/2025,2房,$600 萬,503 呎,"$11,928",N/A
新界,青衣,藍澄灣 6座 高層 G室,N/A,01/04/2025,2房,"$15,000",485 呎,$31,N/A
新界,青衣,翠怡花園 2期 7座 12樓 G室,N/A,01/04/2025,2房,$400 萬,368 呎,"$10,870",N/A
新界,青衣,偉景花園 3座 13樓 C室,N/A,01/04/2025,-,$628 萬,656 呎,"$9,573",N/A
新界,青衣,翠怡花園 2期 9座 5樓 G室,N/A,01/04/2025,2房,$450 萬,368 呎,"$12,228",N/A
新界,青衣,灝景灣 3期 09座 中層 B室,N/A,01/04/2025,2房,"$21,000",499 呎,$42,N/A
新界,青衣,翠怡花園 1期 2座 20樓 F室,N/A,01/04/2025,2房,$400 萬,368 呎,"$10,856",N/A
新界,青衣,綠悠雅苑 2座 27樓 F室,N/A,01/04/2025,3房,$717 萬,696 呎,"$10,299",露台 | | 工作平台
新界,青衣,長安邨 安泊樓 高層 3室,N/A,28/03/2025,開放式,$247 萬,443 呎,"$5,571",N/A
新界,青衣,盈翠半島 2期 12座 中層 B室,N/A,28/03/2025,2房,$734 萬,512 呎,"$14,332",N/A
新界,青衣,青俊苑 A座 13樓 5室,N/A,28/03/2025,2房,$270 萬,436 呎,"$6,193",N/A
新界,青衣,海欣花園 5座 31樓 F室,N/A,28/03/2025,2房,$580 萬,463 呎,"$12,527",N/A
新界,青衣,長安邨 1座 (安海樓) 30樓 10室,N/A,28/03/2025,開放式,$288 萬,443 呎,"$6,501",露台
新界,青衣,青雅苑 A座 26樓 7室,N/A,28/03/2025,開放式,$300 萬,443 呎,"$6,772",露台
新界,青衣,青怡花園 6座 32樓 G室,N/A,27/03/2025,3房,$570 萬,547 呎,"$10,420",N/A
新界,青衣,盈翠半島 1期 02座 低層 H室,N/A,27/03/2025,2房,$750 萬,518 呎,"$14,479",N/A
新界,青衣,青怡花園 4座 24樓 C室,N/A,27/03/2025,3房,$527 萬,547 呎,"$9,631",N/A
新界,青衣,宏福花園 3座 2樓 B室,N/A,27/03/2025,2房,$655 萬,598 呎,"$10,953",N/A
新界,青衣,薈藍 高層 B01室,N/A,27/03/2025,開放式,"$12,000",207 呎,$58,露台
新界,青衣,青華苑 華欣閣(E座) 14樓 6室,N/A,27/03/2025,3房,$357 萬,554 呎,"$6,440",露台
新界,青衣,翠怡花園 2期 7座 36樓 A室,N/A,26/03/2025,2房,$500 萬,451 呎,"$11,086",平台
新界,青衣,海欣花園 3座 32樓 B室,N/A,26/03/2025,2房,$600 萬,511 呎,"$11,742",N/A
新界,青衣,盈翠半島 2期 8座 39樓 G室,N/A,26/03/2025,2房,$735 萬,520 呎,"$14,135",N/A
新界,青衣,青泰苑 F座(俊泰閣) 17樓 9室,N/A,26/03/2025,3房,$506 萬,645 呎,"$7,845",露台
新界,青衣,灝景灣 2期 06座 中層 F室,N/A,25/03/2025,2房,"$18,500",538 呎,$34,N/A
新界,青衣,明翹匯 2座 25樓 H室,N/A,25/03/2025,1房,$425 萬,299 呎,"$14,214",露台
新界,青衣,盈翠半島 1期 5座 10樓 A室,N/A,25/03/2025,3房,"$1,028 萬",752 呎,"$13,670",N/A
新界,青衣,薈藍 高層 A16室,N/A,25/03/2025,開放式,"$12,800",207 呎,$62,露台
新界,青衣,灝景灣 1期 02座 高層 A室,N/A,25/03/2025,2房,"$18,500",519 呎,$36,N/A
新界,青衣,青華苑 華璇閣(B座) 25樓 2室,N/A,25/03/2025,2房,$247 萬,438 呎,"$5,628",露台
新界,青衣,青華苑 華碧閣(C座) 16樓 1室,N/A,24/03/2025,3房,$350 萬,554 呎,"$6,318",露台
新界,青衣,藍澄灣 1座 中層 H室,N/A,24/03/2025,2房,$438 萬,451 呎,"$9,701",N/A
新界,青衣,盈翠半島 1期 02座 低層 H室,N/A,24/03/2025,2房,"$20,000",518 呎,$39,N/A
新界,青衣,翠怡花園 1期 6座 19樓 C室,N/A,24/03/2025,2房,$449 萬,365 呎,"$12,301",N/A
新界,青衣,藍澄灣 2座 26樓 E室,N/A,21/03/2025,3房,$708 萬,690 呎,"$10,261",N/A
新界,青衣,曉峰園 6座 3樓 C室,N/A,21/03/2025,3房,$730 萬,790 呎,"$9,241",N/A
新界,青衣,藍澄灣 5座 38樓 B室,N/A,21/03/2025,2房,$515 萬,485 呎,"$10,619",N/A
新界,青衣,明翹匯 1座 16樓 F室,N/A,21/03/2025,1房,$420 萬,313 呎,"$13,419",露台
新界,青衣,青泰苑 A座(祥泰苑) 5樓 6室,N/A,21/03/2025,3房,$498 萬,554 呎,"$8,989",露台
新界,青衣,盈翠半島 2期 12座 33樓 G室,N/A,21/03/2025,3房,$950 萬,667 呎,"$14,243",N/A
新界,青衣,長安邨 3座 (安江樓) 26樓 1室,N/A,20/03/2025,開放式,$338 萬,381 呎,"$8,871",露台
新界,青衣,藍澄灣 3座 中層 A室,N/A,20/03/2025,2房,"$14,300",451 呎,$32,N/A
新界,青衣,藍澄灣 6座 20樓 C室,N/A,20/03/2025,2房,$468 萬,488 呎,"$9,590",N/A
新界,青衣,青怡花園 5座 4樓 B室,N/A,20/03/2025,2房,$420 萬,343 呎,"$12,245",N/A
新界,青衣,盈翠半島 1期 03座 中層 E室,N/A,20/03/2025,3房,"$26,000",676 呎,$38,N/A
新界,青衣,盈翠半島 2期 10座 中層 G室,N/A,20/03/2025,3房,"$26,000",666 呎,$39,N/A
新界,青衣,盈翠半島 2期 9座 29樓 F室,N/A,20/03/2025,2房,$740 萬,523 呎,"$14,149",N/A
新界,青衣,盈翠半島 1期 03座 中層 F室,N/A,20/03/2025,2房,"$20,500",523 呎,$39,N/A
新界,青衣,青怡花園 5座 19樓 A室,N/A,20/03/2025,2房,$408 萬,343 呎,"$11,895",平台
新界,青衣,盈翠半島 2期 12座 42樓 B室,N/A,19/03/2025,2房,$719 萬,512 呎,"$14,043",N/A
新界,青衣,盈翠半島 1期 3座 11樓 G室,N/A,19/03/2025,2房,$728 萬,520 呎,"$14,000",N/A
新界,青衣,曉峰園 1座 9樓 F室,N/A,19/03/2025,2房,$555 萬,546 呎,"$10,165",N/A
新界,青衣,偉景花園 3座 6樓 G室,N/A,19/03/2025,-,$510 萬,550 呎,"$9,273",N/A
新界,青衣,海欣花園 5座 31樓 H室,N/A,19/03/2025,2房,$535 萬,511 呎,"$10,470",N/A
新界,青衣,青華苑 華豐閣(D座) 35樓 2室,N/A,19/03/2025,3房,$305 萬,554 呎,"$5,505",露台
新界,青衣,曉峰園 5座 5樓 H室,N/A,18/03/2025,3房,$755 萬,755 呎,"$10,000",N/A
新界,青衣,青衣邨 宜逸樓 高層 16室,N/A,18/03/2025,開放式,$259 萬,447 呎,"$5,794",N/A
新界,青衣,翠怡花園 1期 1座 29樓 G室,N/A,18/03/2025,2房,$400 萬,368 呎,"$10,870",N/A
新界,青衣,盈翠半島 1期 5座 8樓 H室,N/A,17/03/2025,2房,$720 萬,518 呎,"$13,900",N/A
新界,青衣,盈翠半島 2期 07座 低層 F室,N/A,17/03/2025,3房,"$26,500",670 呎,$40,N/A
新界,青衣,青衣邨 宜逸樓 (4座) 24樓 1室,N/A,14/03/2025,開放式,$64.23 萬,-,-,露台
新界,青衣,盈翠半島 1期 2座 32樓 A室,N/A,14/03/2025,3房,"$1,045 萬",752 呎,"$13,896",N/A
新界,青衣,翠怡花園 1期 6座 4樓 H室,N/A,14/03/2025,2房,$408 萬,443 呎,"$9,210",N/A
新界,青衣,偉景花園 4座 高層 F室,N/A,14/03/2025,-,"$18,000",656 呎,$27,N/A
新界,青衣,藍澄灣 3座 42樓 F室,N/A,13/03/2025,2房,$518 萬,488 呎,"$10,615",N/A
新界,青衣,藍澄灣 2座 17樓 H室,N/A,13/03/2025,2房,$431 萬,451 呎,"$9,557",N/A
新界,青衣,綠悠雅苑 1座 7樓 B室,N/A,12/03/2025,1房,$425 萬,420 呎,"$10,119",露台 | | 工作平台
新界,青衣,海悅花園 1座 7樓 K室,N/A,12/03/2025,3房,$470 萬,590 呎,"$7,966",N/A
新界,青衣,盈翠半島 2期 7座 29樓 C室,N/A,12/03/2025,2房,$799 萬,523 呎,"$15,277",N/A
新界,青衣,藍澄灣 1座 39樓 A室,N/A,12/03/2025,2房,$443 萬,451 呎,"$9,823",N/A
新界,青衣,盈翠半島 2期 9座 42樓 H室,N/A,12/03/2025,2房,$718 萬,513 呎,"$13,996",N/A
新界,青衣,翠怡花園 2期 9座 33樓 E室,N/A,11/03/2025,2房,$570 萬,495 呎,"$11,515",N/A
