区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,馬灣,珀麗灣 1期 15座 5樓 B室,N/A,02/04/2025,2房,$442 萬,523 呎,"$8,451",N/A
新界,馬灣,珀麗灣 5期 28座 29樓 A室,N/A,02/04/2025,2房,$515 萬,499 呎,"$10,321",露台 | | 工作平台
新界,馬灣,珀麗灣 3期 23座 16樓 E室,N/A,02/04/2025,2房,$500 萬,490 呎,"$10,204",N/A
新界,馬灣,珀麗灣 3期 20座 低層 F室,N/A,30/03/2025,2房,"$15,500",532 呎,$29,露台
新界,馬灣,珀麗灣 5期 30座 13樓 C室,N/A,26/03/2025,2房,$500 萬,574 呎,"$8,711",露台 | | 工作平台
新界,馬灣,珀麗灣 3期 01座 中層 B室,N/A,26/03/2025,3房,"$13,800",759 呎,$18,露台
新界,馬灣,珀麗灣 1期 16座 低層 C室,N/A,25/03/2025,2房,"$15,800",520 呎,$30,N/A
新界,馬灣,珀麗灣 1期 17座 11樓 A室,N/A,20/03/2025,1房,$400 萬,366 呎,"$10,929",N/A
新界,馬灣,珀麗灣 5期 30座 28樓 G室,N/A,20/03/2025,2房,$540 萬,518 呎,"$10,425",N/A
新界,馬灣,珀麗灣 5期 27座 中層 B室,N/A,20/03/2025,2房,"$15,000",499 呎,$30,N/A
新界,馬灣,珀麗灣 2期 7座 6樓 B室,N/A,19/03/2025,2房,$607 萬,583 呎,"$10,412",N/A
新界,馬灣,珀麗灣 1期 17座 高層 E室,N/A,18/03/2025,1房,"$13,600",360 呎,$38,N/A
新界,馬灣,珀麗灣 1期 13座 19樓 F室,N/A,18/03/2025,2房,$483 萬,531 呎,"$9,096",N/A
新界,馬灣,珀麗灣 5期 31座 高層 C室,N/A,15/03/2025,2房,"$18,500",589 呎,$31,露台
新界,馬灣,珀麗灣 3期 23座 高層 A室,N/A,13/03/2025,3房,"$19,500",607 呎,$32,露台
新界,馬灣,珀麗灣 5期 30座 16樓 H室,N/A,12/03/2025,2房,$458 萬,507 呎,"$9,034",露台 | | 工作平台
新界,馬灣,珀麗灣 1期 17座 19樓 J室,N/A,11/03/2025,1房,$442 萬,378 呎,"$11,690",N/A
新界,馬灣,珀麗灣 1期 08座 高層 A室,N/A,10/03/2025,3房,"$25,800",794 呎,$32,N/A
新界,馬灣,珀麗灣 5期 29座 高層 E室,N/A,08/03/2025,3房,"$26,000",799 呎,$33,露台
新界,馬灣,珀麗灣 2期 07座 中層 G室,N/A,08/03/2025,2房,"$15,000",531 呎,$28,N/A
新界,馬灣,珀麗灣 5期 31座 高層 G室,N/A,07/03/2025,2房,"$17,500",545 呎,$32,N/A
新界,馬灣,珀麗灣 3期 21座 25樓 G室,N/A,06/03/2025,2房,$475 萬,532 呎,"$8,929",露台 | | 工作平台
新界,馬灣,珀麗灣 1期 17座 13樓 I室,N/A,04/03/2025,1房,$410 萬,360 呎,"$11,389",N/A
新界,馬灣,珀麗灣 1期 09座 高層 D室,N/A,04/03/2025,3房,"$24,000",794 呎,$30,N/A
新界,馬灣,珀麗灣 3期 19座 中層 G室,N/A,03/03/2025,2房,"$16,800",532 呎,$32,露台
新界,馬灣,珀麗灣 2期 07座 低層 H室,N/A,01/03/2025,2房,"$15,000",537 呎,$28,N/A
新界,馬灣,珀麗灣 5期 30座 中層 D室,N/A,28/02/2025,3房,"$20,500",648 呎,$32,露台
新界,馬灣,珀麗灣 5期 28座 13樓 E室,N/A,28/02/2025,3房,$600 萬,678 呎,"$8,850",露台 | | 工作平台
新界,馬灣,珀麗灣 3期 20座 10樓 C室,N/A,28/02/2025,2房,$518 萬,566 呎,"$9,152",露台 | | 工作平台
新界,馬灣,珀麗灣 5期 30座 中層 H室,N/A,27/02/2025,2房,"$16,300",507 呎,$32,露台
新界,馬灣,珀麗灣 3期 19座 中層 H室,N/A,22/02/2025,2房,"$15,500",490 呎,$32,N/A
