区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,馬鞍山,觀瀾雅軒 5座 中層 F室,N/A,03/04/2025,2房,$717 萬,586 呎,"$12,232",N/A
新界,馬鞍山,新港城 3期 P座 中層 8室,N/A,03/04/2025,2房,"$14,200",370 呎,$38,N/A
新界,馬鞍山,嵐岸 6座 低層 E室,N/A,03/04/2025,2房,$588 萬,496 呎,"$11,855",露台
新界,馬鞍山,錦禧苑 錦欣閣(B座) 2樓 10室,N/A,02/04/2025,3房,$428 萬,554 呎,"$7,726",露台
新界,馬鞍山,馬鞍山中心 2座 34樓 B室,N/A,02/04/2025,2房,$512 萬,364 呎,"$14,066",N/A
新界,馬鞍山,錦英苑 錦達閣 (E座) 21樓 1室,N/A,02/04/2025,3房,$373 萬,554 呎,"$6,733",露台
新界,馬鞍山,富安花園 6座 16樓 F室,N/A,02/04/2025,2房,$375 萬,479 呎,"$7,829",N/A
新界,馬鞍山,錦鞍苑 寶鞍閣(Block C) 2樓 7室,N/A,02/04/2025,3房,$320 萬,554 呎,"$5,776",露台
新界,馬鞍山,恆安邨 恆海樓 高層 10室,N/A,02/04/2025,-,$200 萬,443 呎,"$4,515",N/A
新界,馬鞍山,錦龍苑 C座(龍耀閣) 26樓 1室,N/A,02/04/2025,2房,$340 萬,554 呎,"$6,137",露台
新界,馬鞍山,薈朗 1座 27樓 A1室,N/A,02/04/2025,開放式,$295 萬,229 呎,"$12,873",露台
新界,馬鞍山,富寶花園 9座 16樓 A室,N/A,02/04/2025,3房,$373 萬,592 呎,"$6,301",N/A
新界,馬鞍山,錦鞍苑 銀鞍閣(Block B) 中層 8室,N/A,02/04/2025,2房,"$13,600",401 呎,$34,N/A
新界,馬鞍山,嘉華星濤灣 1座 18樓 F室,N/A,02/04/2025,2房,$620 萬,493 呎,"$12,576",露台 | | 工作平台
新界,馬鞍山,海栢花園 3座 低層 F室,N/A,01/04/2025,3房,"$21,500",567 呎,$38,N/A
新界,馬鞍山,星漣海 3B座 中層 F室,N/A,01/04/2025,3房,$904 萬,769 呎,"$11,753",露台
新界,馬鞍山,海典灣 第二座 高層 A室,N/A,01/04/2025,3房,"$23,000",657 呎,$35,N/A
新界,馬鞍山,錦豐苑 D座(錦莉閣) 24樓 10室,N/A,01/04/2025,1房,$542 萬,597 呎,"$9,079",N/A
新界,馬鞍山,新港城 4期 L座 33樓 7室,N/A,01/04/2025,2房,$504 萬,338 呎,"$14,905",N/A
新界,馬鞍山,嵐岸 3座 26樓 D室,N/A,01/04/2025,2房,$610 萬,523 呎,"$11,663",平台 | | 露台 | | 工作平台
新界,馬鞍山,新港城 4期 G座 35樓 7室,N/A,01/04/2025,2房,$498 萬,338 呎,"$14,734",N/A
新界,馬鞍山,錦豐苑 F座 33樓 15室,N/A,01/04/2025,開放式,$343 萬,431 呎,"$7,958",N/A
新界,馬鞍山,福安花園 2座 18樓 G室,N/A,01/04/2025,2房,$400 萬,484 呎,"$8,264",N/A
新界,馬鞍山,聽濤雅苑 2期 7座 27樓 E室,N/A,01/04/2025,2房,$670 萬,526 呎,"$12,738",N/A
新界,馬鞍山,錦龍苑 D座(龍昇閣) 23樓 8室,N/A,01/04/2025,2房,$435 萬,401 呎,"$10,848",露台
新界,馬鞍山,天宇海 2B座 25樓 D室,N/A,01/04/2025,3房,$760 萬,666 呎,"$11,411",露台 | | 工作平台
新界,馬鞍山,Silversands 第1座 3樓 A室,N/A,01/04/2025,4房,"$1,993 萬","1,151 呎","$17,315",車位 | | 露台 | | 工作平台
新界,馬鞍山,錦鞍苑 寶鞍閣(Block C) 24樓 6室,N/A,01/04/2025,3房,$385 萬,554 呎,"$6,949",露台
新界,馬鞍山,雅景臺 4座 30樓 A室,N/A,01/04/2025,-,$485 萬,475 呎,"$10,211",N/A
新界,馬鞍山,嵐岸 1座 22樓 C室,N/A,31/03/2025,3房,$900 萬,805 呎,"$11,180",平台 | | 露台 | | 工作平台
新界,馬鞍山,銀湖天峰 6座 50樓 A室,N/A,31/03/2025,4房,"$2,170 萬","1,564 呎","$13,875",露台 | | 工作平台
新界,馬鞍山,海典灣 第六座 37樓 A室,N/A,31/03/2025,2房,$655 萬,491 呎,"$13,340",露台
新界,馬鞍山,新港城 1期 A座 24樓 4室,N/A,31/03/2025,3房,$670 萬,568 呎,"$11,796",N/A
新界,馬鞍山,海典灣 第三座 低層 F室,N/A,31/03/2025,2房,$563 萬,468 呎,"$12,030",N/A
新界,馬鞍山,迎海 三期(迎海．星灣御) 17座 22樓 F室,N/A,31/03/2025,2房,$670 萬,511 呎,"$13,112",露台 | | 工作平台
新界,馬鞍山,聽濤雅苑 1期 11座 中層 F室,N/A,28/03/2025,3房,$826 萬,788 呎,"$10,482",N/A
新界,馬鞍山,錦英苑 錦達閣 (E座) 15樓 6室,N/A,28/03/2025,3房,$317 萬,554 呎,"$5,718",露台
新界,馬鞍山,富安花園 2座 12樓 J室,N/A,28/03/2025,2房,$385 萬,484 呎,"$7,955",N/A
新界,馬鞍山,富安花園 7座 6樓 C室,N/A,28/03/2025,3房,$335 萬,591 呎,"$5,668",N/A
新界,馬鞍山,新港城 1期 B座 32樓 7室,N/A,28/03/2025,2房,$400 萬,348 呎,"$11,494",N/A
新界,馬鞍山,錦禧苑 錦榮閣(C座) 9樓 4室,N/A,28/03/2025,3房,$363 萬,554 呎,"$6,552",露台
新界,馬鞍山,迎海 二期(迎海．星灣) 18座 19樓 D室,N/A,28/03/2025,2房,$658 萬,496 呎,"$13,266",露台 | | 工作平台
新界,馬鞍山,帝琴灣 凱琴居 15座 7樓 A室,N/A,28/03/2025,4房,"$1,000 萬","1,285 呎","$7,782",N/A
新界,馬鞍山,錦暉苑 24樓 9室,N/A,27/03/2025,開放式,$246 萬,283 呎,"$8,693",N/A
新界,馬鞍山,錦泰苑 L座 14樓 6室,N/A,27/03/2025,2房,$435 萬,517 呎,"$8,414",N/A
新界,馬鞍山,耀安邨 耀榮樓 (7座) 26樓 10室,N/A,27/03/2025,-,$332 萬,598 呎,"$5,552",N/A
新界,馬鞍山,翠擁華庭 6座 30樓 D室,N/A,27/03/2025,3房,$695 萬,702 呎,"$9,900",N/A
新界,馬鞍山,富安花園 6座 12樓 F室,N/A,27/03/2025,2房,$360 萬,479 呎,"$7,516",N/A
新界,馬鞍山,薈朗 2座 5樓 B7室,N/A,26/03/2025,1房,$370 萬,293 呎,"$12,628",露台
新界,馬鞍山,馬鞍山中心 1座 13樓 F室,N/A,26/03/2025,2房,$425 萬,375 呎,"$11,333",N/A
新界,馬鞍山,錦禧苑 錦榮閣(C座) 10樓 8室,N/A,26/03/2025,2房,$340 萬,401 呎,"$8,479",露台
新界,馬鞍山,翠擁華庭 11座 8樓 A室,N/A,26/03/2025,3房,$650 萬,675 呎,"$9,630",N/A
新界,馬鞍山,錦英苑 錦耀閣 (J座) 7樓 5室,N/A,26/03/2025,2房,$300 萬,401 呎,"$7,481",露台
新界,馬鞍山,迎海 五期(迎海．御峰) 15座 低層 A室,N/A,26/03/2025,4房,"$53,000","1,554 呎",$34,車位 | | 露台 | | 工作平台
新界,馬鞍山,錦英苑 錦義閣 (K座) 6樓 8室,N/A,26/03/2025,2房,$320 萬,401 呎,"$7,980",露台
新界,馬鞍山,富輝花園 2座 高層 B室,N/A,25/03/2025,2房,"$12,500",477 呎,$26,N/A
新界,馬鞍山,嵐岸 2座 高層 F室,N/A,25/03/2025,4房,"$25,763",971 呎,$27,露台
新界,馬鞍山,雅典居 8座 30樓 C室,N/A,25/03/2025,4房,"$1,720 萬","1,718 呎","$10,012",複式 | | 平台
新界,馬鞍山,錦鞍苑 寶鞍閣(Block C) 13樓 4室,N/A,25/03/2025,3房,$295 萬,645 呎,"$4,574",露台
新界,馬鞍山,薈朗 2座 低層 A2室,N/A,25/03/2025,開放式,"$12,000",221 呎,$54,露台
新界,馬鞍山,富安花園 5座 19樓 G室,N/A,25/03/2025,3房,$445 萬,591 呎,"$7,530",N/A
新界,馬鞍山,錦英苑 錦耀閣 (J座) 34樓 3室,N/A,25/03/2025,2房,$320 萬,401 呎,"$7,980",露台
新界,馬鞍山,迎海 二期(迎海．星灣) 18座 23樓 H室,N/A,25/03/2025,3房,"$1,240 萬",793 呎,"$15,637",露台 | | 工作平台
新界,馬鞍山,富寶花園 10座 11樓 A室,N/A,25/03/2025,3房,$378 萬,592 呎,"$6,385",N/A
新界,馬鞍山,雲海 1期 Cedar Court 第2座 高層 F室,N/A,25/03/2025,2房,"$21,000",498 呎,$42,露台 | | 工作平台
新界,馬鞍山,新港城 海濤居 4座 低層 B室,N/A,25/03/2025,2房,"$15,100",404 呎,$37,N/A
新界,馬鞍山,迎海 一期 3座 高層 F室,N/A,25/03/2025,2房,"$21,000",548 呎,$38,露台 | | 工作平台
新界,馬鞍山,富安花園 1座 21樓 J室,N/A,25/03/2025,2房,$365 萬,484 呎,"$7,541",N/A
新界,馬鞍山,富寶花園 7座 32樓 C室,N/A,25/03/2025,3房,$490 萬,592 呎,"$8,277",N/A
新界,馬鞍山,聽濤雅苑 2期 4座 35樓 F室,N/A,25/03/2025,3房,$790 萬,755 呎,"$10,464",N/A
新界,馬鞍山,海典灣 第五座 16樓 A室,N/A,24/03/2025,3房,$885 萬,688 呎,"$12,863",露台
新界,馬鞍山,薈晴 1座 8樓 A3室,N/A,24/03/2025,開放式,$300 萬,225 呎,"$13,333",露台
新界,馬鞍山,迎海 一期 3座 高層 F室,N/A,24/03/2025,2房,"$21,800",548 呎,$40,露台 | | 工作平台
新界,馬鞍山,馬鞍山中心 3座 24樓 C室,N/A,24/03/2025,2房,$488 萬,375 呎,"$13,013",N/A
新界,馬鞍山,雅典居 6座 1樓 D室,N/A,24/03/2025,3房,$758 萬,727 呎,"$10,426",N/A
新界,馬鞍山,錦豐苑 G座 37樓 6室,N/A,24/03/2025,開放式,$335 萬,431 呎,"$7,773",N/A
新界,馬鞍山,富寶花園 9座 1樓 E室,N/A,24/03/2025,2房,$320 萬,431 呎,"$7,425",N/A
新界,馬鞍山,馬鞍山中心 2座 30樓 B室,N/A,24/03/2025,2房,$521 萬,364 呎,"$14,313",N/A
新界,馬鞍山,錦龍苑 龍悅閣(A座) 中層 2室,N/A,23/03/2025,3房,"$18,500",645 呎,$29,N/A
新界,馬鞍山,海典灣 第三座 中層 E室,N/A,22/03/2025,2房,"$18,800",473 呎,$40,N/A
新界,馬鞍山,雅典居 8座 19樓 A室,N/A,21/03/2025,3房,$854 萬,727 呎,"$11,744",N/A
新界,馬鞍山,錦豐苑 H座(錦荷閣) 6樓 18室,N/A,21/03/2025,1房,$520 萬,545 呎,"$9,541",N/A
新界,馬鞍山,薈朗 2座 高層 A6室,N/A,21/03/2025,1房,$405 萬,293 呎,"$13,823",露台
新界,馬鞍山,翠擁華庭 08座 低層 G室,N/A,21/03/2025,3房,$758 萬,781 呎,"$9,706",N/A
新界,馬鞍山,雅典居 2座 17樓 A室,N/A,21/03/2025,3房,$750 萬,727 呎,"$10,316",N/A
新界,馬鞍山,泓碧 3座 1樓 K室,N/A,20/03/2025,2房,$640 萬,518 呎,"$12,355",露台 | | 工作平台
新界,馬鞍山,馬鞍山中心 4座 27樓 D室,N/A,20/03/2025,3房,$665 萬,634 呎,"$10,489",N/A
新界,馬鞍山,錦龍苑 D座(龍昇閣) 21樓 2室,N/A,20/03/2025,3房,$467 萬,645 呎,"$7,240",露台
