区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,北角炮台山,柏蔚山 3座 低層 C室,N/A,03/04/2025,1房,"$27,000",519 呎,$52,露台 | | 工作平台
港島東,北角炮台山,百福花園 A座 (景福閣) 中層 D室,N/A,03/04/2025,3房,$520 萬,597 呎,"$8,710",N/A
港島東,北角炮台山,城市花園 2期 12座 高層 A室,N/A,03/04/2025,3房,"$37,700","1,045 呎",$36,N/A
港島東,北角炮台山,北角中心大廈 C座 8樓 C4室,N/A,02/04/2025,3房,$488 萬,485 呎,"$10,062",N/A
港島東,北角炮台山,興漢大廈 3樓 B室,N/A,02/04/2025,3房,$498 萬,484 呎,"$10,289",N/A
港島東,北角炮台山,俊文樓 20樓 A室,N/A,02/04/2025,-,$398 萬,333 呎,"$11,952",N/A
港島東,北角炮台山,康福園 B 座 5樓 A室,N/A,02/04/2025,3房,$937 萬,992 呎,"$9,446",N/A
港島東,北角炮台山,和富中心 14座 13樓 D室,N/A,02/04/2025,3房,$850 萬,733 呎,"$11,596",N/A
港島東,北角炮台山,皇都 26樓 B1室,N/A,02/04/2025,2房,"$1,174 萬",539 呎,"$21,787",露台 | | 工作平台
港島東,北角炮台山,皇都 22樓 A1室,N/A,01/04/2025,2房,"$1,527 萬",621 呎,"$24,581",車位 | | 露台 | | 工作平台
港島東,北角炮台山,光超台 A座 3樓 1室,N/A,01/04/2025,2房,$580 萬,550 呎,"$10,545",N/A
港島東,北角炮台山,健威花園 B座 12樓 5室,N/A,01/04/2025,2房,$525 萬,446 呎,"$11,771",N/A
港島東,北角炮台山,北角中心大廈 C座 9樓 C1室,N/A,01/04/2025,3房,$600 萬,798 呎,"$7,519",N/A
港島東,北角炮台山,101 Kings Road 9樓 C室,N/A,01/04/2025,3房,"$1,390 萬",568 呎,"$24,472",露台 | | 工作平台
港島東,北角炮台山,英皇道484號 5樓 A室,N/A,01/04/2025,-,$420 萬,415 呎,"$10,120",天台
