区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,寶馬山北角半山,金龍大廈 B座 19樓 3室,N/A,27/03/2025,3房,"$1,100 萬",857 呎,"$12,835",車位 | | 露台
港島東,寶馬山北角半山,柏傲山 3座 25樓 B室,N/A,27/03/2025,2房,"$1,770 萬",735 呎,"$24,082",露台 | | 工作平台
港島東,寶馬山北角半山,柏傲山 2座 3樓 B室,N/A,25/03/2025,3房,"$2,550 萬","1,170 呎","$21,795",平台 | | 露台 | | 工作平台
港島東,寶馬山北角半山,雲峰大廈 19樓 B1室,N/A,25/03/2025,3房,"$2,950 萬","1,650 呎","$17,879",車位 | | 露台
港島東,寶馬山北角半山,金龍大廈 C座 10樓 2室,N/A,21/03/2025,3房,"$1,168 萬",857 呎,"$13,629",車位 | | 露台
港島東,寶馬山北角半山,峰景大廈 D座 20樓 D室,N/A,19/03/2025,3房,"$2,600 萬","1,647 呎","$15,786",車位 | | 露台
港島東,寶馬山北角半山,雅景臺 6樓 E室,N/A,18/03/2025,3房,"$1,500 萬","1,035 呎","$14,493",車位
港島東,寶馬山北角半山,柏傲山 3座 低層 B室,N/A,15/03/2025,2房,"$40,000",735 呎,$54,露台 | | 工作平台
港島東,寶馬山北角半山,雅景臺 13樓 E室,N/A,14/03/2025,3房,"$1,550 萬","1,035 呎","$14,976",車位
港島東,寶馬山北角半山,傲龍軒 低層 B室,N/A,08/03/2025,-,"$21,500",426 呎,$50,N/A
港島東,寶馬山北角半山,富麗園 8樓 C1室,N/A,25/02/2025,3房,"$1,110 萬",837 呎,"$13,262",車位 | | 露台
港島東,寶馬山北角半山,威景臺 19樓 8室,N/A,24/02/2025,2房,"$1,100 萬",700 呎,"$15,714",車位
港島東,寶馬山北角半山,賽西湖大廈 2座 22樓 A室,N/A,19/02/2025,3房,"$2,668 萬","1,297 呎","$20,571",車位 | | 露台
港島東,寶馬山北角半山,賽西湖大廈 3座 18樓 A室,N/A,18/02/2025,3房,"$2,008 萬","1,124 呎","$17,865",車位 | | 露台
港島東,寶馬山北角半山,金龍大廈 A座 23樓 2室,N/A,17/02/2025,3房,"$1,318 萬",857 呎,"$15,379",車位 | | 露台
港島東,寶馬山北角半山,雲峰大廈 11樓 D1室,N/A,12/02/2025,3房,"$2,500 萬","1,407 呎","$17,768",車位 | | 露台
港島東,寶馬山北角半山,賽西湖大廈 7座 22樓 A室,N/A,10/02/2025,3房,"$2,188 萬","1,124 呎","$19,466",車位 | | 露台
港島東,寶馬山北角半山,柏傲山 2座 15樓 B室,N/A,10/02/2025,3房,"$2,200 萬","1,136 呎","$19,366",露台 | | 工作平台
港島東,寶馬山北角半山,珊瑚閣 B座 13樓 B5室,N/A,05/02/2025,3房,"$1,280 萬",877 呎,"$14,595",車位
港島東,寶馬山北角半山,柏傲山 1座 9樓 A室,N/A,05/02/2025,3房,"$2,550 萬","1,078 呎","$23,655",露台 | | 工作平台
港島東,寶馬山北角半山,雲峰大廈 17樓 D1室,N/A,03/02/2025,3房,"$2,288 萬","1,407 呎","$16,262",車位 | | 露台
港島東,寶馬山北角半山,寶馬山花園 1期 01座 高層 C室,N/A,31/01/2025,3房,"$35,500",830 呎,$43,N/A
港島東,寶馬山北角半山,威景臺 6樓 15室,N/A,28/01/2025,2房,"$1,008 萬",700 呎,"$14,400",車位
港島東,寶馬山北角半山,寶馬山花園 1期 06座 高層 A室,N/A,20/01/2025,3房,"$40,500",843 呎,$48,N/A
港島東,寶馬山北角半山,金龍大廈 B座 14樓 4室,N/A,14/01/2025,3房,"$1,630 萬","1,143 呎","$14,261",車位 | | 露台
港島東,寶馬山北角半山,寶馬山花園 1期 1座 10樓 B室,N/A,14/01/2025,3房,"$1,428 萬",830 呎,"$17,205",露台
港島東,寶馬山北角半山,富豪閣 3座 15樓 D室,N/A,10/01/2025,3房,$950 萬,718 呎,"$13,231",車位 | | 露台
港島東,寶馬山北角半山,飛龍臺 17樓 B室,N/A,09/01/2025,3房,"$1,840 萬","1,270 呎","$14,488",露台
港島東,寶馬山北角半山,雲景台 21樓 K室,N/A,06/01/2025,3房,"$1,800 萬","1,065 呎","$16,901",車位
港島東,寶馬山北角半山,峰景大廈 B座 12樓 B室,N/A,06/01/2025,2房,"$1,938 萬","1,324 呎","$14,637",露台
港島東,寶馬山北角半山,雲景台 中層 A室,N/A,01/01/2025,3房,"$47,000","1,063 呎",$44,N/A
港島東,寶馬山北角半山,富麗園 2樓 C2室,N/A,31/12/2024,3房,"$1,010 萬",837 呎,"$12,067",車位 | | 露台
港島東,寶馬山北角半山,寶馬山花園 1期 7座 10樓 C室,N/A,16/12/2024,3房,"$1,375 萬",845 呎,"$16,272",N/A
港島東,寶馬山北角半山,龍景花園 21樓 A室,N/A,11/12/2024,3房,$998 萬,647 呎,"$15,425",N/A
港島東,寶馬山北角半山,威景臺 11樓 14室,N/A,09/12/2024,2房,$938 萬,700 呎,"$13,400",N/A
港島東,寶馬山北角半山,龍景花園 19樓 A室,N/A,06/12/2024,3房,"$1,015 萬",647 呎,"$15,688",N/A
港島東,寶馬山北角半山,金龍大廈 A座 8樓 5室,N/A,05/12/2024,3房,$755 萬,589 呎,"$12,818",N/A
港島東,寶馬山北角半山,柏傲山 5座 22樓 D室,N/A,05/12/2024,1房,"$1,400 萬",597 呎,"$23,451",露台 | | 工作平台
港島東,寶馬山北角半山,柏傲山 3座 中層 B室,N/A,04/12/2024,2房,"$40,000",735 呎,$54,露台 | | 工作平台
港島東,寶馬山北角半山,賽西湖大廈 3座 4樓 C室,N/A,02/12/2024,3房,$850 萬,"1,090 呎","$7,798",車位 | | 露台
港島東,寶馬山北角半山,賽西湖大廈 8座 18樓 C室,N/A,02/12/2024,3房,"$1,600 萬","1,090 呎","$14,679",車位 | | 露台
港島東,寶馬山北角半山,天寶大廈 A座 11樓 A室,N/A,29/11/2024,3房,"$1,750 萬","1,141 呎","$15,337",車位 | | 露台
港島東,寶馬山北角半山,賽西湖大廈 3座 2樓 C室,N/A,26/11/2024,3房,"$1,680 萬","1,090 呎","$15,413",車位 | | 露台
港島東,寶馬山北角半山,天寶大廈 B座 16樓 D室,N/A,25/11/2024,3房,"$1,700 萬","1,141 呎","$14,899",露台
港島東,寶馬山北角半山,賽西湖大廈 2座 18樓 A室,N/A,25/11/2024,3房,"$2,770 萬","1,297 呎","$21,357",車位 | | 露台
港島東,寶馬山北角半山,峰景大廈 E座 6樓 E室,N/A,21/11/2024,3房,"$2,700 萬","1,690 呎","$15,976",車位 | | 露台
港島東,寶馬山北角半山,賽西湖大廈 3座 16樓 B室,N/A,19/11/2024,3房,"$2,112 萬","1,124 呎","$18,790",車位 | | 露台
港島東,寶馬山北角半山,摩天大廈 A座 中層,N/A,16/11/2024,3房,"$81,000","1,806 呎",$45,N/A
