区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,小西灣,富景花園 7座 5樓 D室,N/A,31/03/2025,3房,$500 萬,587 呎,"$8,518",N/A
港島東,小西灣,藍灣半島 8座 49樓 D室,N/A,28/03/2025,3房,"$1,200 萬",825 呎,"$14,545",N/A
港島東,小西灣,藍灣半島 2座 33樓 B室,N/A,27/03/2025,3房,$870 萬,605 呎,"$14,380",N/A
港島東,小西灣,富欣花園 3座 20樓 E室,N/A,26/03/2025,3房,$335 萬,484 呎,"$6,921",N/A
港島東,小西灣,富景花園 2座 15樓 E室,N/A,26/03/2025,2房,$268 萬,431 呎,"$6,218",N/A
港島東,小西灣,富怡花園 2座 31樓 F室,N/A,24/03/2025,2房,$328 萬,484 呎,"$6,777",N/A
港島東,小西灣,富景花園 11座 12樓 F室,N/A,24/03/2025,2房,$353 萬,484 呎,"$7,293",N/A
港島東,小西灣,富景花園 04座 高層 E室,N/A,15/03/2025,2房,"$14,000",431 呎,$32,N/A
港島東,小西灣,富景花園 3座 23樓 E室,N/A,14/03/2025,2房,$295 萬,431 呎,"$6,845",N/A
港島東,小西灣,藍灣半島 6座 29樓 B室,N/A,12/03/2025,3房,"$1,080 萬",811 呎,"$13,317",N/A
港島東,小西灣,富欣花園 5座 1樓 C室,N/A,12/03/2025,3房,$418 萬,592 呎,"$7,061",N/A
港島東,小西灣,富怡花園 3座 31樓 K室,N/A,12/03/2025,2房,$300 萬,431 呎,"$6,961",N/A
港島東,小西灣,富怡花園 5座 37樓 K室,N/A,11/03/2025,2房,$290 萬,431 呎,"$6,729",N/A
港島東,小西灣,富欣花園 4座 14樓 K室,N/A,10/03/2025,2房,$335 萬,431 呎,"$7,773",N/A
港島東,小西灣,藍灣半島 8座 低層 D室,N/A,08/03/2025,3房,"$35,200",825 呎,$43,N/A
港島東,小西灣,富欣花園 3座 5樓 B室,N/A,07/03/2025,2房,$375 萬,484 呎,"$7,748",N/A
港島東,小西灣,富景花園 10座 1樓 F室,N/A,07/03/2025,2房,$258 萬,484 呎,"$5,331",N/A
港島東,小西灣,富景花園 6座 3樓 C室,N/A,07/03/2025,3房,$518 萬,592 呎,"$8,750",N/A
港島東,小西灣,藍灣半島 1座 36樓 A室,N/A,07/03/2025,3房,$810 萬,615 呎,"$13,171",N/A
港島東,小西灣,藍灣半島 7座 低層 F室,N/A,06/03/2025,2房,"$19,000",457 呎,$42,N/A
港島東,小西灣,藍灣半島 3座 47樓 G室,N/A,05/03/2025,2房,$590 萬,455 呎,"$12,967",N/A
港島東,小西灣,富欣花園 5座 26樓 A室,N/A,05/03/2025,2房,$468 萬,431 呎,"$10,858",N/A
港島東,小西灣,富景花園 6座 1樓 G室,N/A,04/03/2025,3房,$340 萬,592 呎,"$5,743",N/A
港島東,小西灣,富欣花園 4座 7樓 B室,N/A,28/02/2025,3房,$447 萬,592 呎,"$7,547",N/A
港島東,小西灣,藍灣半島 5座 52樓 H室,N/A,28/02/2025,1房,$501 萬,323 呎,"$15,511",N/A
港島東,小西灣,藍灣半島 9座 20樓 A室,N/A,24/02/2025,3房,"$1,178 萬",850 呎,"$13,859",N/A
港島東,小西灣,富景花園 7座 18樓 C室,N/A,18/02/2025,3房,$400 萬,592 呎,"$6,757",N/A
港島東,小西灣,富景花園 5座 29樓 F室,N/A,17/02/2025,2房,$270 萬,484 呎,"$5,579",N/A
港島東,小西灣,富欣花園 8座 8樓 J室,N/A,14/02/2025,3房,$408 萬,592 呎,"$6,892",N/A
港島東,小西灣,藍灣半島 7座 11樓 E室,N/A,14/02/2025,3房,$660 萬,566 呎,"$11,661",N/A
港島東,小西灣,藍灣半島 2座 11樓 D室,N/A,07/02/2025,3房,$790 萬,596 呎,"$13,255",N/A
港島東,小西灣,佳翠苑 A座 31樓 6室,N/A,27/01/2025,開放式,$400 萬,433 呎,"$9,238",N/A
港島東,小西灣,藍灣半島 9座 低層 H室,N/A,23/01/2025,3房,"$23,000",591 呎,$39,N/A
港島東,小西灣,藍灣半島 7座 31樓 G室,N/A,23/01/2025,2房,$650 萬,455 呎,"$14,286",N/A
港島東,小西灣,富景花園 11座 低層 E室,N/A,22/01/2025,2房,"$12,300",431 呎,$29,N/A
港島東,小西灣,富怡花園 5座 10樓 A室,N/A,22/01/2025,3房,$350 萬,592 呎,"$5,912",N/A
港島東,小西灣,佳翠苑 A座 6樓 13室,N/A,20/01/2025,1房,$355 萬,546 呎,"$6,502",N/A
港島東,小西灣,藍灣半島 5座 低層 A室,N/A,20/01/2025,3房,"$36,500",729 呎,$50,N/A
港島東,小西灣,藍灣半島 7座 51樓 A室,N/A,16/01/2025,3房,"$1,208 萬",834 呎,"$14,484",N/A
港島東,小西灣,富欣花園 6座 8樓 F室,N/A,16/01/2025,2房,$530 萬,431 呎,"$12,297",N/A
港島東,小西灣,富景花園 1座 12樓 A室,N/A,14/01/2025,3房,$580 萬,592 呎,"$9,797",N/A
港島東,小西灣,藍灣半島 8座 17樓 F室,N/A,10/01/2025,2房,$660 萬,465 呎,"$14,194",N/A
港島東,小西灣,富欣花園 1座 23樓 A室,N/A,10/01/2025,3房,$480 萬,592 呎,"$8,108",N/A
港島東,小西灣,富怡花園 4座 35樓 G室,N/A,07/01/2025,3房,$410 萬,592 呎,"$6,926",N/A
