区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,杏花邨,杏花邨 31座 中層 6室,N/A,01/04/2025,2房,"$19,000",498 呎,$38,N/A
港島東,杏花邨,杏花邨 5座 15樓 2室,N/A,28/03/2025,3房,$680 萬,596 呎,"$11,409",N/A
港島東,杏花邨,杏花邨 09座 高層 2室,N/A,28/03/2025,3房,$724 萬,595 呎,"$12,165",車位
港島東,杏花邨,杏花邨 17座 9樓 7室,N/A,24/03/2025,2房,$500 萬,454 呎,"$11,013",N/A
港島東,杏花邨,杏花邨 19座 中層 4室,N/A,23/03/2025,2房,"$18,000",474 呎,$38,N/A
港島東,杏花邨,杏花邨 8座 6樓 5室,N/A,19/03/2025,2房,$550 萬,475 呎,"$11,579",N/A
港島東,杏花邨,杏花邨 1座 12樓 5室,N/A,13/03/2025,2房,$486 萬,473 呎,"$10,275",N/A
港島東,杏花邨,杏花邨 9座 5樓 2室,N/A,13/03/2025,3房,$661 萬,595 呎,"$11,106",N/A
港島東,杏花邨,杏花邨 26座 13樓 3室,N/A,12/03/2025,2房,$632 萬,499 呎,"$12,665",N/A
港島東,杏花邨,杏花邨 38座 15樓 2室,N/A,11/03/2025,2房,$657 萬,499 呎,"$13,166",N/A
港島東,杏花邨,杏花邨 5座 5樓 1室,N/A,10/03/2025,2房,$500 萬,475 呎,"$10,526",N/A
港島東,杏花邨,杏花邨 42座 4樓 6室,N/A,10/03/2025,3房,$683 萬,645 呎,"$10,589",露台
港島東,杏花邨,杏花邨 15座 19樓 4室,N/A,07/03/2025,3房,"$1,093 萬",888 呎,"$12,309",複式 | | 平台
港島東,杏花邨,杏花邨 6座 13樓 2室,N/A,06/03/2025,3房,$655 萬,596 呎,"$10,990",N/A
港島東,杏花邨,杏花邨 34座 20樓 2室,N/A,24/02/2025,2房,$520 萬,501 呎,"$10,379",N/A
港島東,杏花邨,杏花邨 21座 6樓 1室,N/A,24/02/2025,3房,$568 萬,547 呎,"$10,384",N/A
港島東,杏花邨,杏花邨 16座 中層 4室,N/A,24/02/2025,2房,"$18,000",475 呎,$38,N/A
港島東,杏花邨,杏花邨 34座 12樓 6室,N/A,24/02/2025,3房,$670 萬,619 呎,"$10,824",N/A
港島東,杏花邨,杏花邨 7座 13樓 2室,N/A,11/02/2025,2房,$508 萬,454 呎,"$11,189",N/A
