区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,柴灣,新翠花園 1座 15樓 A室,N/A,31/03/2025,3房,$775 萬,615 呎,"$12,602",N/A
港島東,柴灣,仁樂大廈 B座 10樓 G室,N/A,31/03/2025,-,$248 萬,365 呎,"$6,795",N/A
港島東,柴灣,新翠花園 4座 18樓 D室,N/A,28/03/2025,3房,$608 萬,508 呎,"$11,969",N/A
港島東,柴灣,新翠花園 3座 5樓 G室,N/A,28/03/2025,3房,$478 萬,533 呎,"$8,968",N/A
港島東,柴灣,仁樂大廈 A座 9樓 C室,N/A,25/03/2025,-,$230 萬,280 呎,"$8,214",N/A
港島東,柴灣,宏德居 A座(I)(德福樓) 20樓 D室,N/A,25/03/2025,2房,$400 萬,417 呎,"$9,592",N/A
港島東,柴灣,山翠苑 A座 17樓 7室,N/A,24/03/2025,2房,$308 萬,379 呎,"$8,127",N/A
港島東,柴灣,翠灣邨 翠康樓 (C座) 22樓 1室,N/A,21/03/2025,開放式,$74.85 萬,-,-,露台
港島東,柴灣,新翠花園 6座 25樓 C室,N/A,21/03/2025,2房,$485 萬,457 呎,"$10,613",N/A
港島東,柴灣,康翠臺 6座 21樓 A室,N/A,21/03/2025,2房,$415 萬,536 呎,"$7,743",N/A
港島東,柴灣,蝶翠苑 26樓 20室,N/A,21/03/2025,開放式,$118 萬,191 呎,"$6,178",N/A
港島東,柴灣,新翠花園 4座 15樓 B室,N/A,19/03/2025,3房,$640 萬,533 呎,"$12,008",N/A
港島東,柴灣,山翠苑 A座 14樓 6室,N/A,19/03/2025,2房,$307 萬,374 呎,"$8,203",N/A
港島東,柴灣,康翠臺 3座 30樓 E室,N/A,19/03/2025,2房,$478 萬,504 呎,"$9,484",N/A
港島東,柴灣,怡翠苑 B座 19樓 5室,N/A,17/03/2025,2房,$438 萬,466 呎,"$9,399",N/A
港島東,柴灣,仁樂大廈 B座 5樓 N室,N/A,14/03/2025,-,$200 萬,290 呎,"$6,897",N/A
港島東,柴灣,新翠花園 6座 13樓 F室,N/A,14/03/2025,2房,$512 萬,459 呎,"$11,155",N/A
港島東,柴灣,樂翠臺 2座 21樓 H室,N/A,14/03/2025,3房,$400 萬,700 呎,"$5,714",N/A
港島東,柴灣,怡翠苑 A座 19樓 5室,N/A,13/03/2025,2房,$440 萬,466 呎,"$9,442",N/A
港島東,柴灣,新翠花園 6座 13樓 G室,N/A,12/03/2025,2房,$488 萬,454 呎,"$10,749",N/A
港島東,柴灣,峰華邨 秀峰樓 (3座) 5樓 2室,N/A,12/03/2025,開放式,$61.47 萬,-,-,露台
港島東,柴灣,滿華樓 2樓 14室,N/A,11/03/2025,-,$250 萬,322 呎,"$7,764",平台
港島東,柴灣,柴灣戲院大廈 18樓 D室,N/A,10/03/2025,-,$233 萬,325 呎,"$7,169",N/A
港島東,柴灣,富明閣 4樓 E室,N/A,05/03/2025,-,$333 萬,404 呎,"$8,238",N/A
港島東,柴灣,金源洋樓 B座 7樓 B8室,N/A,05/03/2025,2房,$216 萬,245 呎,"$8,816",N/A
港島東,柴灣,金源洋樓 A座 23樓 A6室,N/A,04/03/2025,2房,$245 萬,260 呎,"$9,423",天台
港島東,柴灣,永利中心 B座 20樓 B4室,N/A,28/02/2025,-,$300 萬,316 呎,"$9,494",N/A
港島東,柴灣,景翠苑 A座 12樓 4室,N/A,27/02/2025,開放式,$315 萬,374 呎,"$8,422",露台
港島東,柴灣,富安閣 12樓 E室,N/A,26/02/2025,-,$330 萬,347 呎,"$9,510",N/A
港島東,柴灣,蝶翠苑 8樓 18室,N/A,20/02/2025,開放式,$250 萬,314 呎,"$7,962",露台
港島東,柴灣,永利中心 B座 6樓 B1室,N/A,20/02/2025,-,$285 萬,260 呎,"$10,962",平台
