区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,筲箕灣,嘉福大廈 13樓 A室,N/A,31/03/2025,-,$320 萬,246 呎,"$13,008",N/A
港島東,筲箕灣,逸濤灣 冬和軒 40樓 E室,N/A,31/03/2025,3房,"$1,415 萬",766 呎,"$18,473",N/A
港島東,筲箕灣,新成中心 B座 11樓 B5室,N/A,31/03/2025,2房,$380 萬,353 呎,"$10,765",N/A
港島東,筲箕灣,金來大廈 11樓 I室,N/A,31/03/2025,-,$188 萬,189 呎,"$9,947",N/A
港島東,筲箕灣,港島．東18 5樓 E室,N/A,31/03/2025,1房,$300 萬,264 呎,"$11,364",平台
港島東,筲箕灣,東明樓 3樓 D室,N/A,28/03/2025,-,$280 萬,282 呎,"$9,929",N/A
港島東,筲箕灣,形薈 2座 32樓 F室,N/A,28/03/2025,2房,$815 萬,466 呎,"$17,489",露台 | | 工作平台
港島東,筲箕灣,筲箕灣中心 C座 5樓 D室,N/A,28/03/2025,2房,$400 萬,306 呎,"$13,072",N/A
港島東,筲箕灣,西灣大廈 8樓 B室,N/A,28/03/2025,-,$238 萬,226 呎,"$10,531",N/A
港島東,筲箕灣,太安樓 13樓 49室,N/A,28/03/2025,-,$280 萬,352 呎,"$7,955",N/A
港島東,筲箕灣,逸濤灣 冬和軒 高層 C室,N/A,28/03/2025,3房,"$1,554 萬",741 呎,"$20,969",N/A
港島東,筲箕灣,嘉禮樓 1樓 4室,N/A,27/03/2025,-,$438 萬,687 呎,"$6,376",N/A
港島東,筲箕灣,都會大樓 3樓 A室,N/A,27/03/2025,-,$300 萬,427 呎,"$7,026",N/A
港島東,筲箕灣,銀河廣場 8樓 E室,N/A,27/03/2025,3房,$513 萬,466 呎,"$11,009",N/A
港島東,筲箕灣,東駿苑 B座 3樓 10室,N/A,27/03/2025,1房,$428 萬,606 呎,"$7,063",N/A
港島東,筲箕灣,東熹苑 逸熹閣 (B座) 35樓 13室,N/A,27/03/2025,1房,$445 萬,538 呎,"$8,271",N/A
港島東,筲箕灣,東熹苑 景熹閣 (A座) 2樓 7室,N/A,26/03/2025,開放式,$273 萬,438 呎,"$6,233",N/A
港島東,筲箕灣,愛蝶灣 8座 10樓 J室,N/A,26/03/2025,2房,$450 萬,484 呎,"$9,298",N/A
港島東,筲箕灣,筲箕灣廣場 3座 ( 麗雅苑 ) 6樓 C室,N/A,26/03/2025,2房,$398 萬,352 呎,"$11,307",N/A
港島東,筲箕灣,愛蝶灣 8座 22樓 B室,N/A,26/03/2025,3房,$580 萬,592 呎,"$9,797",N/A
港島東,筲箕灣,愛蝶灣 7座 16樓 A室,N/A,26/03/2025,3房,$625 萬,592 呎,"$10,557",N/A
港島東,筲箕灣,碧麗閣 B座 1樓 3室,N/A,26/03/2025,1房,$280 萬,271 呎,"$10,332",平台
港島東,筲箕灣,香苑大廈 低層 C室,N/A,25/03/2025,2房,"$14,000",385 呎,$36,N/A
港島東,筲箕灣,傲華 6樓 A室,N/A,25/03/2025,1房,$548 萬,343 呎,"$15,968",露台 | | 工作平台
港島東,筲箕灣,新成中心 A座 17樓 A7室,N/A,25/03/2025,2房,$351 萬,291 呎,"$12,062",N/A
港島東,筲箕灣,太安樓 21樓 61室,N/A,25/03/2025,-,$290 萬,352 呎,"$8,239",N/A
港島東,筲箕灣,峻峰花園 E座 18樓 6室,N/A,25/03/2025,2房,$530 萬,410 呎,"$12,927",N/A
港島東,筲箕灣,永華大廈 7樓 D室,N/A,24/03/2025,2房,$290 萬,298 呎,"$9,732",N/A
港島東,筲箕灣,嘉兆大廈 8樓 F室,N/A,24/03/2025,2房,$330 萬,337 呎,"$9,792",N/A
港島東,筲箕灣,樂融軒 中層 A室,N/A,24/03/2025,3房,"$29,000",671 呎,$43,露台 | | 工作平台
港島東,筲箕灣,東熹苑 逸熹閣 (B座) 19樓 2室,N/A,21/03/2025,1房,$465 萬,603 呎,"$7,711",N/A
港島東,筲箕灣,遠晴 高層 B室,N/A,21/03/2025,1房,"$16,000",271 呎,$59,露台
港島東,筲箕灣,港島．東18 9樓 C室,N/A,21/03/2025,3房,$580 萬,533 呎,"$10,882",露台 | | 工作平台
港島東,筲箕灣,太安樓 10樓 62室,N/A,21/03/2025,-,$220 萬,352 呎,"$6,250",N/A
港島東,筲箕灣,太安樓 8樓 54室,N/A,21/03/2025,-,$270 萬,352 呎,"$7,670",N/A
港島東,筲箕灣,筲箕灣廣場 1座 ( 麗文苑 ) 11樓 C室,N/A,20/03/2025,2房,$378 萬,344 呎,"$10,988",N/A
港島東,筲箕灣,新成中心 C座 10樓 C4室,N/A,20/03/2025,2房,$316 萬,367 呎,"$8,610",N/A
港島東,筲箕灣,太安樓 13樓 15室,N/A,20/03/2025,-,$290 萬,352 呎,"$8,239",N/A
港島東,筲箕灣,永興大樓 22樓 A室,N/A,19/03/2025,-,$400 萬,394 呎,"$10,152",N/A
港島東,筲箕灣,傲華 8樓 H室,N/A,19/03/2025,1房,$514 萬,283 呎,"$18,163",露台 | | 工作平台
港島東,筲箕灣,東濤苑 二期 D座 (映濤閣) 3樓 2室,N/A,19/03/2025,2房,$510 萬,522 呎,"$9,770",N/A
港島東,筲箕灣,樂融軒 12樓 H室,N/A,19/03/2025,3房,$910 萬,635 呎,"$14,331",露台 | | 工作平台
港島東,筲箕灣,形薈 1B座 低層 E室,N/A,18/03/2025,1房,"$20,000",360 呎,$56,露台
港島東,筲箕灣,東濤苑 二期 A座 (曉濤閣) 32樓 6室,N/A,18/03/2025,3房,$615 萬,554 呎,"$11,101",N/A
港島東,筲箕灣,香島 5座 16樓 E室,N/A,18/03/2025,2房,"$1,028 萬",715 呎,"$14,378",露台 | | 工作平台
港島東,筲箕灣,樂融軒 40樓 B室,N/A,18/03/2025,2房,$855 萬,501 呎,"$17,066",露台
港島東,筲箕灣,東熹苑 華熹閣 (C座) 15樓 8室,N/A,18/03/2025,1房,$488 萬,546 呎,"$8,938",N/A
