区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
港島東,鰂魚涌,太古城 海景花園(西) 金楓閣 低層 C室,N/A,03/04/2025,3房,"$1,300 萬",897 呎,"$14,493",N/A
港島東,鰂魚涌,康山花園 6座 19樓 C室,N/A,02/04/2025,3房,$560 萬,592 呎,"$9,459",N/A
港島東,鰂魚涌,濱海大廈 23A樓 B室,N/A,02/04/2025,-,$538 萬,389 呎,"$13,830",N/A
港島東,鰂魚涌,太古城 海天花園 南天閣 15樓 H室,N/A,02/04/2025,2房,$960 萬,592 呎,"$16,216",N/A
港島東,鰂魚涌,太古城 安盛台 建安閣 14樓 D室,N/A,02/04/2025,2房,$800 萬,580 呎,"$13,793",N/A
港島東,鰂魚涌,華蘭花園 芝蘭閣 24樓 A室,N/A,01/04/2025,2房,$523 萬,379 呎,"$13,799",N/A
港島東,鰂魚涌,太古城 海天花園 南天閣 高層 B室,N/A,01/04/2025,3房,$908 萬,604 呎,"$15,033",N/A
港島東,鰂魚涌,太古城 星輝台 銀星閣 9樓 G室,N/A,01/04/2025,3房,$795 萬,719 呎,"$11,057",N/A
港島東,鰂魚涌,興祥大廈 15樓 I室,N/A,01/04/2025,2房,$320 萬,388 呎,"$8,247",N/A
港島東,鰂魚涌,太古城 金殿臺 夏宮閣 15樓 G室,N/A,01/04/2025,2房,$830 萬,580 呎,"$14,310",N/A
港島東,鰂魚涌,嘉亨灣 1座 高層 F室,N/A,01/04/2025,2房,"$26,000",499 呎,$52,N/A
港島東,鰂魚涌,太古城 高山台 富山閣 低層 B室,N/A,01/04/2025,3房,"$25,500",684 呎,$37,N/A
港島東,鰂魚涌,太順樓 9樓 L室,N/A,01/04/2025,-,$250 萬,311 呎,"$8,039",N/A
港島東,鰂魚涌,君豪峰 高層 H室,N/A,01/04/2025,1房,"$17,500",290 呎,$60,露台 | | 工作平台
港島東,鰂魚涌,逸濤灣 冬和軒 35樓 C室,N/A,01/04/2025,3房,"$1,554 萬",741 呎,"$20,969",N/A
港島東,鰂魚涌,逸濤灣 冬和軒 40樓 E室,N/A,31/03/2025,3房,"$1,415 萬",766 呎,"$18,473",N/A
港島東,鰂魚涌,栢蕙苑 康柏閣 5樓 E室,N/A,31/03/2025,2房,$600 萬,549 呎,"$10,929",天台
港島東,鰂魚涌,興祥大廈 3樓 F室,N/A,31/03/2025,4房,$396 萬,593 呎,"$6,678",N/A
港島東,鰂魚涌,南豐新邨 5座 3樓 G室,N/A,31/03/2025,2房,$418 萬,391 呎,"$10,691",N/A
港島東,鰂魚涌,嘉亨灣 6座 9樓 C室,N/A,31/03/2025,3房,"$1,080 萬",749 呎,"$14,419",露台 | | 工作平台
港島東,鰂魚涌,康怡花園 P座 10樓 13室,N/A,31/03/2025,3房,$778 萬,616 呎,"$12,630",N/A
港島東,鰂魚涌,太古城 高山台 泰山閣 中層 A室,N/A,31/03/2025,3房,$818 萬,706 呎,"$11,586",N/A
港島東,鰂魚涌,康怡花園 Q座 高層 15室,N/A,30/03/2025,2房,"$20,000",466 呎,$43,N/A
港島東,鰂魚涌,嘉亨灣 2座 低層 H室,N/A,29/03/2025,2房,"$22,000",490 呎,$45,N/A
港島東,鰂魚涌,太古城 星輝台 耀星閣 中層 D室,N/A,28/03/2025,2房,$710 萬,503 呎,"$14,115",N/A
港島東,鰂魚涌,太古城 翠湖台 太湖閣 高層 D室,N/A,28/03/2025,2房,$668 萬,583 呎,"$11,458",N/A
港島東,鰂魚涌,太古城 安盛台 興安閣 8樓 A室,N/A,28/03/2025,2房,$797 萬,583 呎,"$13,671",N/A
港島東,鰂魚涌,鯉景灣 A段 觀暉閣 11樓 F室,N/A,28/03/2025,2房,$653 萬,485 呎,"$13,464",N/A
港島東,鰂魚涌,新威園 C座 14樓 4室,N/A,28/03/2025,-,$505 萬,506 呎,"$9,980",N/A
港島東,鰂魚涌,太古城 金殿臺 唐宮閣 低層 E室,N/A,28/03/2025,2房,"$22,800",545 呎,$42,N/A
港島東,鰂魚涌,太順樓 4樓 O室,N/A,27/03/2025,-,$248 萬,311 呎,"$7,974",N/A
港島東,鰂魚涌,得利樓 8樓 27室,N/A,27/03/2025,-,$290 萬,351 呎,"$8,262",N/A
港島東,鰂魚涌,康怡花園 D座 低層 8室,N/A,27/03/2025,3房,$560 萬,596 呎,"$9,396",N/A
港島東,鰂魚涌,太古城 海景花園(西) 金楓閣 10樓 E室,N/A,27/03/2025,3房,"$1,320 萬",922 呎,"$14,317",露台
港島東,鰂魚涌,御皇臺 23樓 G室,N/A,26/03/2025,-,$558 萬,400 呎,"$13,958",露台
港島東,鰂魚涌,太古城 海景花園(西) 翠榕閣 25樓 C室,N/A,26/03/2025,3房,"$1,250 萬",897 呎,"$13,935",N/A
港島東,鰂魚涌,康蕙花園 2座 46樓 A室,N/A,26/03/2025,3房,$780 萬,604 呎,"$12,914",N/A
港島東,鰂魚涌,太古城 高山台 廬山閣 18樓 A室,N/A,26/03/2025,2房,$708 萬,518 呎,"$13,668",N/A
港島東,鰂魚涌,康景花園 A座 14樓 3室,N/A,26/03/2025,3房,$818 萬,846 呎,"$9,669",露台
港島東,鰂魚涌,惠利大廈 1樓 23室,N/A,26/03/2025,-,$230 萬,346 呎,"$6,647",N/A
港島東,鰂魚涌,福昌樓 1樓 19室,N/A,26/03/2025,-,$208 萬,300 呎,"$6,933",N/A
港島東,鰂魚涌,嘉亨灣 6座 高層 C室,N/A,26/03/2025,3房,"$37,000",749 呎,$49,N/A
港島東,鰂魚涌,太古城 海天花園 啟天閣 中層 A室,N/A,26/03/2025,3房,"$35,000",759 呎,$46,N/A
港島東,鰂魚涌,嘉亨灣 1座 高層 C室,N/A,25/03/2025,2房,"$26,000",462 呎,$56,N/A
港島東,鰂魚涌,鯉景灣 A段 觀景閣 低層 C室,N/A,25/03/2025,2房,"$19,500",489 呎,$40,N/A
港島東,鰂魚涌,康怡花園 P座 2樓 15室,N/A,25/03/2025,2房,$595 萬,461 呎,"$12,907",N/A
