区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
灣仔區,渣甸山大坑,光明台 1座 高層 H室,N/A,03/04/2025,2房,$930 萬,616 呎,"$15,097",N/A
灣仔區,渣甸山大坑,瑞士花園 4座 5樓 H室,N/A,01/04/2025,3房,"$2,028 萬","1,265 呎","$16,032",車位 | | 露台
灣仔區,渣甸山大坑,第一閣 22樓 A室,N/A,01/04/2025,開放式,$700 萬,304 呎,"$23,026",N/A
灣仔區,渣甸山大坑,昍逵閣 低層 B室,N/A,01/04/2025,3房,"$43,000",961 呎,$45,車位
灣仔區,渣甸山大坑,尚巒 11樓 E室,N/A,27/03/2025,開放式,$428 萬,273 呎,"$15,678",露台
灣仔區,渣甸山大坑,兆暉閣 12樓,N/A,26/03/2025,3房,"$1,580 萬","1,070 呎","$14,766",車位 | | 露台
灣仔區,渣甸山大坑,益群苑 3樓 B室,N/A,26/03/2025,-,$930 萬,991 呎,"$9,384",N/A
灣仔區,渣甸山大坑,光明台 2座 中層 F室,N/A,26/03/2025,2房,"$24,500",568 呎,$43,N/A
灣仔區,渣甸山大坑,曦巒 25樓 F室,N/A,26/03/2025,1房,$700 萬,375 呎,"$18,667",露台 | | 工作平台
灣仔區,渣甸山大坑,龍華花園 1座 1樓 A室,N/A,26/03/2025,3房,"$1,165 萬",962 呎,"$12,110",車位 | | 天台 | | 露台
灣仔區,渣甸山大坑,光明台 1座 中層 E室,N/A,22/03/2025,2房,"$27,000",616 呎,$44,N/A
灣仔區,渣甸山大坑,龍華花園 1座 13樓 F室,N/A,20/03/2025,3房,$750 萬,694 呎,"$10,807",天台
灣仔區,渣甸山大坑,光明台 2座 5樓 C室,N/A,19/03/2025,3房,"$1,180 萬",800 呎,"$14,750",N/A
灣仔區,渣甸山大坑,大坑台 11樓 8室,N/A,18/03/2025,-,$870 萬,567 呎,"$15,344",車位
灣仔區,渣甸山大坑,栢園 14樓 B室,N/A,12/03/2025,3房,"$2,200 萬","1,132 呎","$19,435",車位 | | 露台
灣仔區,渣甸山大坑,光明台 1座 24樓 G室,N/A,11/03/2025,2房,$850 萬,568 呎,"$14,965",N/A
灣仔區,渣甸山大坑,康馨園 17樓 A室,N/A,07/03/2025,4房,"$3,940 萬","1,658 呎","$23,764",車位
灣仔區,渣甸山大坑,曦巒 28樓 D室,N/A,07/03/2025,2房,"$1,150 萬",584 呎,"$19,692",露台 | | 工作平台
灣仔區,渣甸山大坑,大坑道1號 26樓 A室,N/A,06/03/2025,3房,"$1,630 萬",872 呎,"$18,693",車位 | | 天台
灣仔區,渣甸山大坑,曦巒 21樓 C室,N/A,06/03/2025,1房,$720 萬,428 呎,"$16,822",露台 | | 工作平台
灣仔區,渣甸山大坑,勤屋 11樓 28A室,N/A,05/03/2025,-,"$1,320 萬","1,171 呎","$11,272",N/A
灣仔區,渣甸山大坑,雅景軒 9樓 B室,N/A,05/03/2025,3房,"$1,028 萬",658 呎,"$15,623",車位
灣仔區,渣甸山大坑,渣甸山名門 1座 高層 B室,N/A,22/02/2025,3房,"$66,000","1,104 呎",$60,車位
灣仔區,渣甸山大坑,上林 2座 17樓 D室,N/A,21/02/2025,3房,"$1,618 萬",788 呎,"$20,533",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,大坑道1號 10樓 D室,N/A,20/02/2025,2房,$803 萬,559 呎,"$14,365",N/A
灣仔區,渣甸山大坑,曦巒 15樓 D室,N/A,19/02/2025,2房,"$1,080 萬",588 呎,"$18,367",露台 | | 工作平台
灣仔區,渣甸山大坑,大坑道1號 21樓 B室,N/A,18/02/2025,2房,$875 萬,559 呎,"$15,649",N/A
灣仔區,渣甸山大坑,渣甸山名門 5座 22樓 B室,N/A,17/02/2025,3房,"$1,800 萬",871 呎,"$20,666",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,瑆華 中層 C室,N/A,17/02/2025,1房,"$23,000",383 呎,$60,工作平台
灣仔區,渣甸山大坑,大坑台 10樓 12室,N/A,17/02/2025,-,$840 萬,527 呎,"$15,939",車位
灣仔區,渣甸山大坑,億景樓 6樓 A室,N/A,17/02/2025,-,"$1,880 萬","1,207 呎","$15,576",車位
灣仔區,渣甸山大坑,光明台 1座 中層 B室,N/A,13/02/2025,3房,"$35,000",800 呎,$44,N/A
灣仔區,渣甸山大坑,竹麗苑 中層 A室,N/A,10/02/2025,-,"$50,000","1,208 呎",$41,N/A
灣仔區,渣甸山大坑,勤輝大廈 14樓 B室,N/A,07/02/2025,-,$580 萬,410 呎,"$14,146",N/A
灣仔區,渣甸山大坑,渣甸山名門 1座 27樓 A室,N/A,03/02/2025,3房,"$3,190 萬","1,104 呎","$28,895",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,光明台 1座 44樓 G室,N/A,28/01/2025,3房,"$1,438 萬",765 呎,"$18,797",複式 | | 天台 | | 平台
灣仔區,渣甸山大坑,春暉8號 22樓 B室,N/A,27/01/2025,3房,"$4,300 萬","1,542 呎","$27,886",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,益群道1號 4樓 A室,N/A,23/01/2025,-,"$1,120 萬",975 呎,"$11,487",車位 | | 天台
灣仔區,渣甸山大坑,龍華花園 1座 20樓 E室,N/A,22/01/2025,3房,"$1,018 萬",694 呎,"$14,669",天台
灣仔區,渣甸山大坑,上林 1座 31樓 C室,N/A,22/01/2025,3房,"$1,535 萬",788 呎,"$19,480",露台 | | 工作平台
灣仔區,渣甸山大坑,明頓別墅 2樓 63室,N/A,21/01/2025,-,"$1,800 萬","1,020 呎","$17,647",車位
灣仔區,渣甸山大坑,慧景園 3座 9樓 B室,N/A,21/01/2025,3房,"$2,070 萬","1,182 呎","$17,513",車位
灣仔區,渣甸山大坑,光明台 1座 15樓 G室,N/A,21/01/2025,2房,$840 萬,568 呎,"$14,789",N/A
灣仔區,渣甸山大坑,渣甸山名門 5座 17樓 C室,N/A,15/01/2025,3房,"$1,568 萬",871 呎,"$18,002",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,曦巒 20樓 C室,N/A,14/01/2025,1房,$718 萬,428 呎,"$16,776",露台 | | 工作平台
灣仔區,渣甸山大坑,曦巒 22樓 C室,N/A,13/01/2025,1房,$740 萬,428 呎,"$17,290",露台 | | 工作平台
灣仔區,渣甸山大坑,曦巒 中層 D室,N/A,09/01/2025,2房,"$28,000",588 呎,$48,露台 | | 工作平台
灣仔區,渣甸山大坑,大坑台 6樓 6室,N/A,03/01/2025,3房,$838 萬,527 呎,"$15,901",車位
灣仔區,渣甸山大坑,永安閣 2座 低層 B室,N/A,31/12/2024,3房,"$58,000","1,260 呎",$46,車位
灣仔區,渣甸山大坑,怡晴軒 6樓,N/A,31/12/2024,-,"$4,500 萬","1,841 呎","$24,443",車位
灣仔區,渣甸山大坑,渣甸山名門 3座 19樓 B室,N/A,31/12/2024,3房,"$2,800 萬","1,538 呎","$18,205",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,尚巒 23樓 E室,N/A,30/12/2024,開放式,$480 萬,272 呎,"$17,647",露台
灣仔區,渣甸山大坑,白建時道79號,N/A,28/12/2024,-,$25 萬,"4,529 呎",$55,N/A
灣仔區,渣甸山大坑,曦巒 25樓 E室,N/A,27/12/2024,1房,$680 萬,390 呎,"$17,436",露台 | | 工作平台
灣仔區,渣甸山大坑,光明台 2座 中層 B室,N/A,25/12/2024,3房,"$32,378",800 呎,$40,N/A
灣仔區,渣甸山大坑,高景大廈 高層 D室,N/A,23/12/2024,2房,"$27,500",567 呎,$49,車位
灣仔區,渣甸山大坑,尚巒 12樓 F室,N/A,19/12/2024,1房,$650 萬,398 呎,"$16,332",露台 | | 工作平台
灣仔區,渣甸山大坑,第一閣 20樓 B室,N/A,16/12/2024,1房,$668 萬,322 呎,"$20,745",N/A
灣仔區,渣甸山大坑,大寶閣 23樓 B室,N/A,03/12/2024,4房,"$7,280 萬","2,465 呎","$29,533",車位 | | 露台
灣仔區,渣甸山大坑,瑆華 21樓 D室,N/A,29/11/2024,2房,"$1,080 萬",610 呎,"$17,705",露台 | | 工作平台
灣仔區,渣甸山大坑,梅苑 4樓 F室,N/A,25/11/2024,-,"$1,450 萬","1,234 呎","$11,750",N/A
灣仔區,渣甸山大坑,瑆華 27樓 C室,N/A,21/11/2024,1房,$738 萬,383 呎,"$19,269",工作平台
灣仔區,渣甸山大坑,大坑台 11樓 1室,N/A,20/11/2024,3房,"$1,180 萬",626 呎,"$18,850",車位
灣仔區,渣甸山大坑,金暉閣 中層 A室,N/A,19/11/2024,-,"$10,300",186 呎,$55,N/A
灣仔區,渣甸山大坑,栢麗園 柏麗園 16樓 E室,N/A,15/11/2024,4房,"$3,068 萬","1,492 呎","$20,563",車位
灣仔區,渣甸山大坑,光明台 1座 6樓 E室,N/A,14/11/2024,2房,$779 萬,616 呎,"$12,643",N/A
灣仔區,渣甸山大坑,豪園 B座 (3-6 嘉寧徑) 16樓 3室,N/A,14/11/2024,4房,"$4,950 萬","2,750 呎","$18,000",露台
灣仔區,渣甸山大坑,上林 2座 低層 A室,N/A,08/11/2024,3房,"$44,000",788 呎,$56,露台
灣仔區,渣甸山大坑,慧景園 2座 低層 D室,N/A,01/11/2024,3房,"$50,000","1,011 呎",$49,N/A
灣仔區,渣甸山大坑,禮雲大樓 4樓 25室,N/A,01/11/2024,-,$580 萬,553 呎,"$10,488",N/A
灣仔區,渣甸山大坑,億景樓 19樓 B室,N/A,01/11/2024,-,"$2,000 萬","1,207 呎","$16,570",車位
灣仔區,渣甸山大坑,春暉8號 30樓 B室,N/A,31/10/2024,4房,"$4,600 萬","1,542 呎","$29,831",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,永威閣 11樓 E室,N/A,30/10/2024,2房,$630 萬,597 呎,"$10,553",N/A
灣仔區,渣甸山大坑,曦巒 27樓 F室,N/A,30/10/2024,1房,$662 萬,375 呎,"$17,648",露台 | | 工作平台
灣仔區,渣甸山大坑,上林 2座 低層 D室,N/A,26/10/2024,3房,"$40,000",788 呎,$51,車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,瑞士花園 4座 8樓 H室,N/A,25/10/2024,3房,"$2,028 萬","1,265 呎","$16,032",車位 | | 露台
灣仔區,渣甸山大坑,龍華花園 2座 高層 B室,N/A,25/10/2024,3房,"$41,000",976 呎,$42,N/A
灣仔區,渣甸山大坑,皇第 3&5樓 A室,N/A,22/10/2024,3房,$2.12 億,"3,976 呎","$53,320",複式 | | 車位 | | 露台
灣仔區,渣甸山大坑,益群道1號 4樓 B室,N/A,18/10/2024,-,$722 萬,576 呎,"$12,535",車位
灣仔區,渣甸山大坑,大坑道1號 低層 B室,N/A,16/10/2024,2房,"$26,500",559 呎,$47,N/A
灣仔區,渣甸山大坑,大坑道1號 高層 C室,N/A,15/10/2024,2房,"$28,000",575 呎,$49,N/A
灣仔區,渣甸山大坑,Green Village 8A室,N/A,12/10/2024,-,"$51,000","1,323 呎",$39,N/A
灣仔區,渣甸山大坑,Green Village 8C室,N/A,08/10/2024,-,"$39,000","1,213 呎",$32,N/A
灣仔區,渣甸山大坑,尚巒 中層 C室,N/A,07/10/2024,開放式,"$17,200",265 呎,$65,露台
灣仔區,渣甸山大坑,渣甸山名門 5座 31樓 B室,N/A,07/10/2024,3房,"$1,700 萬",871 呎,"$19,518",車位 | | 露台 | | 工作平台
灣仔區,渣甸山大坑,瑆華 高層 D室,N/A,28/09/2024,2房,"$34,300",610 呎,$56,露台 | | 工作平台
