区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
灣仔區,灣仔,囍滙 第二期 1座 高層 H室,N/A,01/04/2025,1房,"$27,000",455 呎,$59,露台 | | 工作平台
灣仔區,灣仔,囍滙 第二期 3座 低層 H室,N/A,01/04/2025,1房,"$24,500",446 呎,$55,露台 | | 工作平台
灣仔區,灣仔,駿逸峯 低層 C室,N/A,01/04/2025,2房,$650 萬,431 呎,"$15,081",N/A
灣仔區,灣仔,立興大廈 6樓 E室,N/A,31/03/2025,2房,$298 萬,324 呎,"$9,198",N/A
灣仔區,灣仔,鴻業大廈 9樓 G室,N/A,31/03/2025,開放式,$385 萬,523 呎,"$7,361",天台
灣仔區,灣仔,軒尼詩道大樓 13樓 217室,N/A,31/03/2025,開放式,$340 萬,369 呎,"$9,214",N/A
灣仔區,灣仔,永德大廈 C 座 2樓 C3室,N/A,31/03/2025,開放式,$295 萬,379 呎,"$7,784",N/A
灣仔區,灣仔,滙星壹號 匯星壹號 高層 D室,N/A,31/03/2025,2房,"$30,500",511 呎,$60,N/A
灣仔區,灣仔,謝斐道227號 7樓,N/A,31/03/2025,-,$298 萬,424 呎,"$7,028",天台
灣仔區,灣仔,永德大廈 B 座 6樓 B3室,N/A,28/03/2025,開放式,$318 萬,357 呎,"$8,908",N/A
灣仔區,灣仔,修頓大廈 11樓 G室,N/A,28/03/2025,-,$320 萬,362 呎,"$8,840",N/A
灣仔區,灣仔,永星苑 高座 17樓 B室,N/A,27/03/2025,開放式,$380 萬,251 呎,"$15,139",N/A
灣仔區,灣仔,長康大廈 7樓 E室,N/A,27/03/2025,-,$480 萬,690 呎,"$6,957",N/A
灣仔區,灣仔,嘉薈軒 37樓 05室,N/A,27/03/2025,1房,$650 萬,408 呎,"$15,931",露台 | | 工作平台
灣仔區,灣仔,壹嘉 32樓 B室,N/A,27/03/2025,開放式,$655 萬,315 呎,"$20,797",露台 | | 工作平台
灣仔區,灣仔,金碧大廈 9樓 D室,N/A,27/03/2025,1房,$430 萬,429 呎,"$10,023",N/A
