区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
灣仔區,跑馬地東半山,華翠臺 14樓 B室,N/A,01/04/2025,2房,$685 萬,468 呎,"$14,637",N/A
灣仔區,跑馬地東半山,紀雲峰 7樓 B室,N/A,31/03/2025,2房,"$3,060 萬","1,461 呎","$20,945",平台 | | 露台 | | 工作平台
灣仔區,跑馬地東半山,奕廬 2樓 B室,N/A,28/03/2025,-,"$1,700 萬","1,420 呎","$11,972",N/A
灣仔區,跑馬地東半山,山勝大廈 7樓 B室,N/A,26/03/2025,-,$730 萬,563 呎,"$12,966",車位
灣仔區,跑馬地東半山,禮賢大廈 3樓 58A室,N/A,26/03/2025,-,$780 萬,998 呎,"$7,816",N/A
灣仔區,跑馬地東半山,比華利山 F座 22樓 F2室,N/A,25/03/2025,4房,"$2,900 萬","1,346 呎","$21,545",車位 | | 露台
灣仔區,跑馬地東半山,毓秀大廈 11樓 B室,N/A,25/03/2025,-,$360 萬,638 呎,"$5,643",N/A
灣仔區,跑馬地東半山,茗苑 中層 B室,N/A,25/03/2025,-,"$18,000",562 呎,$32,N/A
灣仔區,跑馬地東半山,南珍閣 17樓,N/A,24/03/2025,-,$945 萬,517 呎,"$18,279",N/A
灣仔區,跑馬地東半山,比華利山 G座 5樓 G2室,N/A,24/03/2025,3房,"$1,800 萬","1,082 呎","$16,636",車位 | | 露台
灣仔區,跑馬地東半山,利安閣 4樓 A室,N/A,24/03/2025,-,"$4,550 萬","2,480 呎","$18,347",N/A
灣仔區,跑馬地東半山,愉苑大廈 高層 10室,N/A,22/03/2025,-,"$43,000",926 呎,$46,N/A
灣仔區,跑馬地東半山,黃泥涌道173號 4樓,N/A,21/03/2025,-,$528 萬,624 呎,"$8,462",N/A
灣仔區,跑馬地東半山,金山花園 A座 11樓 3室,N/A,21/03/2025,3房,"$1,760 萬",910 呎,"$19,341",車位 | | 露台
灣仔區,跑馬地東半山,摘星閣 2樓 H室,N/A,21/03/2025,2房,$780 萬,546 呎,"$14,286",N/A
灣仔區,跑馬地東半山,毓成大廈 高層 A室,N/A,21/03/2025,-,"$60,000","1,441 呎",$42,車位
灣仔區,跑馬地東半山,紀園 A座 中層 A5室,N/A,20/03/2025,-,"$3,700 萬","1,790 呎","$20,670",車位
灣仔區,跑馬地東半山,御珍閣 高層,N/A,19/03/2025,-,"$18,300",341 呎,$54,N/A
灣仔區,跑馬地東半山,蔚雲閣 中層 C室,N/A,19/03/2025,3房,"$34,000",794 呎,$43,N/A
