区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
灣仔區,銅鑼灣天后,寶榮大樓 5樓 I室,N/A,02/04/2025,-,$292 萬,460 呎,"$6,348",N/A
灣仔區,銅鑼灣天后,采怡閣 9樓 B室,N/A,02/04/2025,-,$600 萬,394 呎,"$15,228",N/A
灣仔區,銅鑼灣天后,麗園大廈 9樓 H室,N/A,02/04/2025,-,$380 萬,419 呎,"$9,069",N/A
灣仔區,銅鑼灣天后,置安大廈 18樓 I室,N/A,01/04/2025,-,$530 萬,465 呎,"$11,398",N/A
灣仔區,銅鑼灣天后,珠城大廈 10樓 C7室,N/A,01/04/2025,-,$513 萬,493 呎,"$10,406",N/A
灣仔區,銅鑼灣天后,第一閣 22樓 A室,N/A,01/04/2025,開放式,$700 萬,304 呎,"$23,026",N/A
灣仔區,銅鑼灣天后,美蘭閣 6樓 B室,N/A,01/04/2025,-,$405 萬,347 呎,"$11,671",N/A
灣仔區,銅鑼灣天后,蘭芳道5號 5樓,N/A,31/03/2025,-,$580 萬,612 呎,"$9,477",平台
灣仔區,銅鑼灣天后,灣景樓 A座 19樓 A2室,N/A,31/03/2025,-,"$1,025 萬",933 呎,"$10,986",N/A
灣仔區,銅鑼灣天后,維景花園 B座 14樓 3室,N/A,31/03/2025,3房,$720 萬,452 呎,"$15,929",N/A
灣仔區,銅鑼灣天后,維峯．浚匯 中層 B室,N/A,30/03/2025,1房,"$18,200",270 呎,$67,露台
灣仔區,銅鑼灣天后,金龍大廈 B座 19樓 3室,N/A,27/03/2025,3房,"$1,100 萬",857 呎,"$12,835",車位 | | 露台
灣仔區,銅鑼灣天后,樂聲大廈 A座 低層 6室,N/A,27/03/2025,-,"$16,000",390 呎,$41,N/A
灣仔區,銅鑼灣天后,柏傲山 3座 25樓 B室,N/A,27/03/2025,2房,"$1,770 萬",735 呎,"$24,082",露台 | | 工作平台
灣仔區,銅鑼灣天后,尚巒 11樓 E室,N/A,27/03/2025,開放式,$428 萬,273 呎,"$15,678",露台
灣仔區,銅鑼灣天后,雍藝軒 12樓 D室,N/A,26/03/2025,2房,$730 萬,424 呎,"$17,217",N/A
灣仔區,銅鑼灣天后,海殿大廈 13樓 A室,N/A,26/03/2025,-,$680 萬,622 呎,"$10,932",N/A
灣仔區,銅鑼灣天后,曦巒 25樓 F室,N/A,26/03/2025,1房,$700 萬,375 呎,"$18,667",露台 | | 工作平台
灣仔區,銅鑼灣天后,香港大廈 6樓 P室,N/A,26/03/2025,-,$590 萬,827 呎,"$7,134",N/A
灣仔區,銅鑼灣天后,禮賢大廈 3樓 58A室,N/A,26/03/2025,-,$780 萬,998 呎,"$7,816",N/A
灣仔區,銅鑼灣天后,柏傲山 2座 3樓 B室,N/A,25/03/2025,3房,"$2,550 萬","1,170 呎","$21,795",平台 | | 露台 | | 工作平台
灣仔區,銅鑼灣天后,利發大廈 13樓 C室,N/A,25/03/2025,2房,$339 萬,284 呎,"$11,937",N/A
灣仔區,銅鑼灣天后,珠城大廈 8樓 B2室,N/A,24/03/2025,-,$400 萬,563 呎,"$7,105",N/A
灣仔區,銅鑼灣天后,金龍大廈 C座 10樓 2室,N/A,21/03/2025,3房,"$1,168 萬",857 呎,"$13,629",車位 | | 露台
灣仔區,銅鑼灣天后,華登大廈 10樓 C2室,N/A,21/03/2025,-,$620 萬,696 呎,"$8,908",N/A
灣仔區,銅鑼灣天后,珠城大廈 25樓 A1室,N/A,21/03/2025,-,$626 萬,558 呎,"$11,215",N/A
灣仔區,銅鑼灣天后,維峯．浚匯 17樓 F室,N/A,19/03/2025,1房,$500 萬,277 呎,"$18,051",露台
灣仔區,銅鑼灣天后,佳景大廈 15樓 5室,N/A,18/03/2025,3房,$675 萬,510 呎,"$13,235",N/A
灣仔區,銅鑼灣天后,萬順樓 5樓 D室,N/A,18/03/2025,-,$312 萬,309 呎,"$10,097",N/A
灣仔區,銅鑼灣天后,嘉柏大廈 20樓 D室,N/A,17/03/2025,-,$808 萬,572 呎,"$14,126",N/A
灣仔區,銅鑼灣天后,寶富大樓 3樓 K室,N/A,17/03/2025,開放式,$380 萬,488 呎,"$7,787",N/A
灣仔區,銅鑼灣天后,栢景臺 2座 中層 B室,N/A,16/03/2025,3房,"$63,000","1,128 呎",$56,N/A
灣仔區,銅鑼灣天后,柏傲山 3座 低層 B室,N/A,15/03/2025,2房,"$40,000",735 呎,$54,露台 | | 工作平台
灣仔區,銅鑼灣天后,美登大廈 11樓 D室,N/A,14/03/2025,-,"$1,050 萬","1,015 呎","$10,345",N/A
灣仔區,銅鑼灣天后,維峯 20樓 D室,N/A,14/03/2025,1房,$590 萬,287 呎,"$20,557",露台
灣仔區,銅鑼灣天后,DIVA 7樓 B室,N/A,14/03/2025,2房,$800 萬,493 呎,"$16,227",工作平台
灣仔區,銅鑼灣天后,木蘭苑 6樓 B室,N/A,13/03/2025,3房,$628 萬,496 呎,"$12,661",N/A
灣仔區,銅鑼灣天后,麗園大廈 高層 F室,N/A,13/03/2025,-,"$16,000",378 呎,$42,N/A
灣仔區,銅鑼灣天后,維多利中心 1座 23樓 D室,N/A,13/03/2025,2房,$940 萬,572 呎,"$16,434",N/A
灣仔區,銅鑼灣天后,維景花園 B座 13樓 6室,N/A,11/03/2025,3房,$575 萬,422 呎,"$13,626",N/A
灣仔區,銅鑼灣天后,寶田樓 1樓 115室,N/A,10/03/2025,-,$398 萬,380 呎,"$10,474",平台
灣仔區,銅鑼灣天后,建華大廈 高層 D室,N/A,10/03/2025,-,"$11,000",224 呎,$49,N/A
灣仔區,銅鑼灣天后,珠城大廈 25樓 A2室,N/A,10/03/2025,-,$504 萬,460 呎,"$10,957",N/A
灣仔區,銅鑼灣天后,傲龍軒 低層 B室,N/A,08/03/2025,-,"$21,500",426 呎,$50,N/A
灣仔區,銅鑼灣天后,耀星華庭 22樓 D室,N/A,07/03/2025,-,$498 萬,310 呎,"$16,065",N/A
灣仔區,銅鑼灣天后,百德大廈 D 座 15樓 D4室,N/A,07/03/2025,-,$620 萬,688 呎,"$9,012",N/A
灣仔區,銅鑼灣天后,曦巒 28樓 D室,N/A,07/03/2025,2房,"$1,150 萬",584 呎,"$19,692",露台 | | 工作平台
